"","Suburb","Address","Rooms","Type","Price","Method","SellerG","Date","Distance","Postcode","Bedroom2","Bathroom","Car","Landsize","BuildingArea","YearBuilt","CouncilArea","Lattitude","Longtitude","Regionname","Propertycount"
"2449","Essendon","8 Buckley St",3,"h",1330000,"S","Barry",2016-07-26,8,3040,3,1,4,687,NA,NA,"Moonee Valley",-37.7585,144.9316,"Western Metropolitan",9264
"2450","Essendon","31 Graves St",3,"h",1625000,"S","Nelson",2016-07-26,8,3040,3,2,1,858,165,1938,"Moonee Valley",-37.7417,144.8961,"Western Metropolitan",9264
"2451","Essendon","7 Hilda St",3,"h",1150000,"S","Paul",2016-07-26,8,3040,3,1,0,300,145,1900,"Moonee Valley",-37.7548,144.9315,"Western Metropolitan",9264
"2452","Essendon","47 Hoddle St",3,"h",1085000,"S","Barry",2016-06-27,8,3040,3,1,1,325,NA,NA,"Moonee Valley",-37.7525,144.9232,"Western Metropolitan",9264
"2453","Essendon","9 Mountain St",6,"h",1800000,"VB","Joe",2016-06-27,8,3040,7,2,2,870,NA,NA,"Moonee Valley",-37.7517,144.9018,"Western Metropolitan",9264
"2454","Essendon","8/30 Nicholson St",2,"u",360000,"VB","Nelson",2016-06-27,8,3040,2,1,1,0,68,1970,"Moonee Valley",-37.754,144.9209,"Western Metropolitan",9264
"2455","Essendon","2/67 Nimmo St",2,"u",645000,"SP","Nelson",2016-06-27,8,3040,2,1,1,170,88,1994,"Moonee Valley",-37.7475,144.8959,"Western Metropolitan",9264
"2456","Essendon","8/15 Shaftesbury St",1,"u",250000,"VB","Brad",2016-06-27,8,3040,1,1,1,0,125,1970,"Moonee Valley",-37.7523,144.9221,"Western Metropolitan",9264
"2457","Essendon","16 Cliff St",3,"h",1630000,"S","Nelson",2016-11-27,8,3040,3,2,2,563,NA,NA,"Moonee Valley",-37.7579,144.9114,"Western Metropolitan",9264
"2458","Essendon","10 Deakin St",3,"h",850000,"PI","Hodges",2016-11-27,8,3040,3,2,1,580,NA,NA,"Moonee Valley",-37.753,144.891,"Western Metropolitan",9264
"2459","Essendon","2/7 Graves St",3,"u",872000,"S","Nelson",2016-11-27,8,3040,3,1,1,862,135,1970,"Moonee Valley",-37.7399,144.8964,"Western Metropolitan",9264
"2460","Essendon","71A Price St",3,"t",935000,"PI","Alexkarbon",2016-11-27,8,3040,3,2,2,247,NA,NA,"Moonee Valley",-37.7462,144.8949,"Western Metropolitan",9264
"2461","Essendon","1/1 Thomson St",2,"u",630000,"S","Nelson",2016-11-27,8,3040,2,1,1,0,83,1975,"Moonee Valley",-37.7543,144.9066,"Western Metropolitan",9264
"2462","Essendon","5/8 Violet St",2,"u",440000,"S","Brad",2016-11-27,8,3040,2,1,1,1011,77,1970,"Moonee Valley",-37.7556,144.9132,"Western Metropolitan",9264
"2463","Essendon","18 Washington St",5,"h",1811000,"S","Nelson",2016-11-27,8,3040,5,3,2,657,284,1930,"Moonee Valley",-37.7548,144.9098,"Western Metropolitan",9264
"2464","Essendon","31 Elder Pde",3,"h",1500000,"PI","Red",2016-05-28,8,3040,3,2,3,440,190,1930,"Moonee Valley",-37.7524,144.9074,"Western Metropolitan",9264
"2465","Essendon","5 Raleigh St",3,"h",1290000,"S","Nelson",2016-05-28,8,3040,3,1,2,605,NA,NA,"Moonee Valley",-37.7541,144.9265,"Western Metropolitan",9264
"2466","Essendon","15 Wright St",3,"h",1045000,"S","Nelson",2016-05-28,8,3040,3,1,1,429,NA,NA,"Moonee Valley",-37.7453,144.9183,"Western Metropolitan",9264
"2467","Essendon","38 Alfred Rd",3,"h",1290000,"S","Nelson",2016-08-28,8,3040,3,1,1,618,132,1960,"Moonee Valley",-37.7442,144.9249,"Western Metropolitan",9264
"2468","Essendon","95 Bradshaw St",2,"h",953000,"S","Nelson",2016-08-28,8,3040,2,1,1,414,NA,NA,"Moonee Valley",-37.7466,144.8941,"Western Metropolitan",9264
"2469","Essendon","118 Buckley St",3,"h",1100000,"PI","Raine",2016-08-28,8,3040,3,1,2,0,700,1915,"Moonee Valley",-37.7566,144.9155,"Western Metropolitan",9264
"2470","Essendon","1/52 Elder Pde",3,"u",820000,"S","Nelson",2016-08-28,8,3040,3,1,1,0,NA,NA,"Moonee Valley",-37.752,144.9079,"Western Metropolitan",9264
"2471","Essendon","5 Loeman St",4,"h",1270000,"PI","Nelson",2016-08-28,8,3040,3,2,2,411,266,1996,"Moonee Valley",-37.757,144.9251,"Western Metropolitan",9264
"2472","Essendon","21 Miller St",3,"h",1445000,"S","Nelson",2016-08-28,8,3040,3,2,1,400,168,1910,"Moonee Valley",-37.7542,144.9117,"Western Metropolitan",9264
"2473","Essendon","33 Ogilvie St",4,"h",1113000,"S","Brad",2016-08-28,8,3040,3,1,2,533,127,1950,"Moonee Valley",-37.7509,144.8922,"Western Metropolitan",9264
"2474","Essendon","4/11 Spencer St",2,"u",370000,"VB","Barry",2016-08-28,8,3040,2,1,1,0,59,1960,"Moonee Valley",-37.7482,144.908,"Western Metropolitan",9264
"2475","Essendon","1 Braemar St",3,"h",1505000,"S","Jellis",2016-07-30,8,3040,3,2,2,625,NA,NA,"Moonee Valley",-37.7489,144.9073,"Western Metropolitan",9264
"2476","Essendon","6/7 Schofield St",2,"t",590000,"S","Brad",2016-07-30,8,3040,2,1,1,0,NA,1970,"Moonee Valley",-37.7451,144.9145,"Western Metropolitan",9264
"2477","Essendon North","2/17 Bulla Rd",2,"u",396000,"S","Barry",2016-09-03,9.4,3041,2,1,1,0,56,1975,"Moonee Valley",-37.7428,144.9086,"Western Metropolitan",1308
"2478","Essendon North","3 Oshannassy St",3,"h",1580000,"S","Barry",2016-06-04,9.4,3041,3,2,2,758,NA,NA,"Moonee Valley",-37.7401,144.9013,"Western Metropolitan",1308
"2479","Essendon North","2/10 Oshannassy St",2,"u",393000,"S","Brad",2016-08-06,9.4,3041,2,1,1,999,NA,1970,"Moonee Valley",-37.7396,144.902,"Western Metropolitan",1308
"2480","Essendon North","4/17 Bulla Rd",1,"u",260000,"S","Brad",2016-09-10,9.4,3041,1,1,1,0,NA,NA,"Moonee Valley",-37.7428,144.9086,"Western Metropolitan",1308
"2481","Essendon North","11 Duffy St",3,"h",1320000,"S","Brad",2016-05-14,9.4,3041,3,1,1,766,NA,NA,"Moonee Valley",-37.7388,144.9006,"Western Metropolitan",1308
"2482","Essendon North","4/8 Keam St",2,"u",450000,"SP","Barry",2016-05-14,9.4,3041,2,1,1,88,59,1960,"Moonee Valley",-37.7389,144.8998,"Western Metropolitan",1308
"2483","Essendon North","64 Kerferd St",5,"h",1360000,"S","Nelson",2017-03-18,9.4,3041,5,3,2,463,196,1930,"Moonee Valley",-37.7379,144.9022,"Western Metropolitan",1308
"2484","Essendon North","1/48 Keilor Rd",2,"u",340000,"SP","Nelson",2016-06-18,9.4,3041,2,1,1,0,65,1960,"Moonee Valley",-37.7433,144.9074,"Western Metropolitan",1308
"2485","Essendon North","2/31 Greville St",3,"u",765000,"S","Nelson",2016-11-19,9.4,3041,3,2,1,0,134,2002,"Moonee Valley",-37.7364,144.8977,"Western Metropolitan",1308
"2486","Essendon North","21 Greville St",4,"h",1605000,"S","Barry",2016-08-22,9.4,3041,3,2,2,607,NA,1940,"Moonee Valley",-37.7371,144.8973,"Western Metropolitan",1308
"2487","Essendon North","2/26 Renown St",3,"u",712000,"S","Nelson",2016-08-22,9.4,3041,3,2,2,189,104,2009,"Moonee Valley",-37.7374,144.9006,"Western Metropolitan",1308
"2488","Essendon North","1 Dudley St",3,"h",1425000,"S","McGrath",2017-02-25,9.4,3041,3,2,2,10100,NA,NA,"Moonee Valley",-37.7376,144.8954,"Western Metropolitan",1308
"2489","Fairfield","150 Gillies St",3,"h",1250000,"VB","Jellis",2016-09-03,5.8,3078,3,2,0,327,144,1910,"Darebin",-37.7723,145.0179,"Northern Metropolitan",2970
"2490","Fairfield","7 Rathmines St",3,"h",1350000,"PI","McGrath",2016-12-03,5.8,3078,3,1,2,309,110,2000,"Darebin",-37.7828,145.0154,"Northern Metropolitan",2970
"2491","Fairfield","197 Wingrove St",3,"h",1125000,"S","Jellis",2016-06-04,5.8,3078,2,1,2,530,NA,NA,"Darebin",-37.7788,145.0203,"Northern Metropolitan",2970
"2492","Fairfield","192 Gillies St",3,"h",1064000,"S","Jellis",2016-08-06,5.8,3078,3,1,1,235,NA,1900,"Darebin",-37.7698,145.0183,"Northern Metropolitan",2970
"2493","Fairfield","229 Rathmines St",2,"h",1220000,"S","Jellis",2016-05-07,5.8,3078,2,1,2,537,92,1950,"Darebin",-37.7689,145.0177,"Northern Metropolitan",2970
"2494","Fairfield","197 Station St",4,"h",1160000,"PI","Nelson",2016-05-07,5.8,3078,4,2,1,381,145,1890,"Darebin",-37.7735,145.0192,"Northern Metropolitan",2970
"2495","Fairfield","2/115 Gillies St",2,"u",505000,"PI","Nelson",2016-11-07,5.8,3078,2,1,1,0,70,1970,"Darebin",-37.7755,145.0178,"Northern Metropolitan",2970
"2496","Fairfield","20/262 Heidelberg Rd",2,"u",602000,"S","Jellis",2016-11-07,5.8,3078,2,1,1,0,77,2013,"Yarra",-37.7845,145.0105,"Northern Metropolitan",2970
"2497","Fairfield","3/260 Rathmines St",3,"t",846000,"SP","Love",2016-10-08,5.8,3078,3,1,1,185,107,1990,"Darebin",-37.7665,145.0175,"Northern Metropolitan",2970
"2498","Fairfield","7/223 Station St",2,"u",4e+05,"VB","Nelson",2016-09-10,5.8,3078,2,1,1,0,68,1970,"Darebin",-37.7719,145.0195,"Northern Metropolitan",2970
"2499","Fairfield","2/152 Gillies St",2,"h",610000,"S","Thomas",2016-12-10,5.8,3078,2,1,1,66,NA,NA,"Darebin",-37.7722,145.0178,"Northern Metropolitan",2970
"2500","Fairfield","7/59 Rathmines St",2,"u",445000,"S","Nelson",2016-12-10,5.8,3078,2,1,1,0,56,1970,"Darebin",-37.7782,145.0162,"Northern Metropolitan",2970
"2501","Fairfield","3/18 Gillies St",2,"u",730000,"S","Jellis",2017-02-11,5.8,3078,2,1,1,116,NA,1985,"Darebin",-37.7818,145.0161,"Northern Metropolitan",2970
"2502","Fairfield","88 Perry St",4,"h",1730000,"S","Jellis",2016-10-15,5.8,3078,4,2,2,490,226,2007,"Darebin",-37.7749,145.0242,"Northern Metropolitan",2970
"2503","Fairfield","4/28 Rushall St",2,"u",438000,"S","Harcourts",2016-10-15,5.8,3078,2,1,1,0,NA,NA,"Darebin",-37.7762,145.0213,"Northern Metropolitan",2970
"2504","Fairfield","125 Grange Rd",3,"h",1700000,"PI","Jellis",2017-03-18,5.8,3078,3,2,1,743,NA,NA,"Darebin",-37.7728,145.026,"Northern Metropolitan",2970
"2505","Fairfield","1/72 Rathmines St",2,"u",510000,"S","hockingstuart",2017-03-18,5.8,3078,2,1,1,1658,68,1970,"Darebin",-37.7781,145.0157,"Northern Metropolitan",2970
"2506","Fairfield","4/10 Station St",1,"u",3e+05,"VB","Raine",2017-03-18,5.8,3078,1,1,1,0,NA,NA,"Yarra",-37.7839,145.0171,"Northern Metropolitan",2970
"2507","Fairfield","139 Christmas St",3,"h",750000,"VB","Barry",2016-06-18,5.8,3078,3,2,1,170,NA,NA,"Darebin",-37.7674,145.0209,"Northern Metropolitan",2970
"2508","Fairfield","45 McGregor St",3,"h",2350000,"PI","Collins",2016-06-18,5.8,3078,3,2,4,735,NA,1950,"Darebin",-37.7706,145.0225,"Northern Metropolitan",2970
"2509","Fairfield","52 Rayment St",3,"h",1350000,"VB","Nelson",2016-11-19,5.8,3078,3,1,4,553,109,1930,"Darebin",-37.7728,145.0214,"Northern Metropolitan",2970
"2510","Fairfield","254 Rathmines St",4,"h",2e+06,"VB","Nelson",2016-05-22,5.8,3078,4,3,2,575,280,2015,"Darebin",-37.7671,145.0176,"Northern Metropolitan",2970
"2511","Fairfield","100 Perry St",2,"h",1010000,"S","Nelson",2016-08-22,5.8,3078,2,1,1,285,NA,NA,"Darebin",-37.774,145.0244,"Northern Metropolitan",2970
"2512","Fairfield","231 Station St",3,"h",1065000,"S","Nelson",2016-04-23,5.8,3078,3,1,2,630,NA,1930,"Darebin",-37.7713,145.0196,"Northern Metropolitan",2970
"2513","Fairfield","4/224 Arthur St",2,"t",805000,"S","McGrath",2016-09-24,5.8,3078,2,1,1,140,2,2008,"Darebin",-37.7697,145.0203,"Northern Metropolitan",2970
"2514","Fairfield","225 Gillies St",3,"h",1055000,"S","Collins",2016-06-27,5.8,3078,3,1,2,382,140,1950,"Darebin",-37.7696,145.0188,"Northern Metropolitan",2970
"2515","Fairfield","15/262 Heidelberg Rd",2,"u",548000,"SP","Nelson",2016-06-27,5.8,3078,2,1,1,0,68,2014,"Yarra",-37.7845,145.0105,"Northern Metropolitan",2970
"2516","Fairfield","189 Rathmines St",3,"h",1500000,"S","McGrath",2016-11-27,5.8,3078,3,1,1,0,126,1910,"Darebin",-37.7714,145.0173,"Northern Metropolitan",2970
"2517","Fairfield","1/203 Station St",2,"u",6e+05,"VB","Jellis",2016-11-27,5.8,3078,2,1,2,0,75,1970,"Darebin",-37.7732,145.0193,"Northern Metropolitan",2970
"2518","Fairfield","48 Gordon St",3,"h",1510000,"S","Jellis",2016-05-28,5.8,3078,1,1,1,453,NA,NA,"Darebin",-37.7772,145.0232,"Northern Metropolitan",2970
"2519","Fairfield","1/240 Arthur St",2,"u",545000,"SP","McGrath",2016-08-28,5.8,3078,2,1,1,0,77,2002,"Darebin",-37.7682,145.0209,"Northern Metropolitan",2970
"2520","Fairfield","250 Arthur St",3,"h",1145000,"S","McGrath",2016-08-28,5.8,3078,3,1,3,590,NA,NA,"Darebin",-37.7673,145.021,"Northern Metropolitan",2970
"2521","Fairfield","147 Gillies St",3,"h",1375000,"S","McGrath",2016-08-28,5.8,3078,3,1,1,496,122,1910,"Darebin",-37.7737,145.018,"Northern Metropolitan",2970
"2522","Fitzroy","111 Cecil St",2,"h",1e+06,"S","Nelson",2016-09-03,1.6,3065,2,1,0,128,NA,NA,"Yarra",-37.7941,144.9802,"Northern Metropolitan",5825
"2523","Fitzroy","3/18 Hanover St",3,"h",1252000,"S","Nelson",2016-09-03,1.6,3065,3,2,2,0,137,2004,"Yarra",-37.8029,144.975,"Northern Metropolitan",5825
"2524","Fitzroy","4/113 Cecil St",2,"u",810000,"S","Jellis",2016-08-06,1.6,3065,2,1,2,0,71,1965,"Yarra",-37.7941,144.9802,"Northern Metropolitan",5825
"2525","Fitzroy","502/69 Victoria St",2,"u",692000,"S","Nelson",2016-05-07,1.6,3065,2,1,1,0,NA,NA,"Yarra",-37.7988,144.9772,"Northern Metropolitan",5825
"2526","Fitzroy","127 George St",4,"h",1780000,"S","Peter",2016-11-07,1.6,3065,4,1,1,186,NA,1902,"Yarra",-37.8048,144.9806,"Northern Metropolitan",5825
"2527","Fitzroy","199 Moor St",1,"h",947500,"S","Nelson",2016-11-07,1.6,3065,1,1,0,87,66,1980,"Yarra",-37.8019,144.9821,"Northern Metropolitan",5825
"2528","Fitzroy","291 George St",2,"h",1460000,"PI","Nelson",2016-11-12,1.6,3065,2,1,0,0,105,1890,"Yarra",-37.8006,144.9814,"Northern Metropolitan",5825
"2529","Fitzroy","1/59 Leicester St",3,"t",1520000,"S","Jellis",2016-11-12,1.6,3065,3,2,2,0,NA,NA,"Yarra",-37.7951,144.9776,"Northern Metropolitan",5825
"2530","Fitzroy","7/56 Leicester St",2,"t",880000,"S","Nelson",2016-08-13,1.6,3065,2,2,2,0,105,2000,"Yarra",-37.7953,144.9775,"Northern Metropolitan",5825
"2531","Fitzroy","52 Nicholson St",4,"h",3310000,"S","Caine",2016-08-13,1.6,3065,4,4,2,337,291,1854,"Yarra",-37.8052,144.9739,"Northern Metropolitan",5825
"2532","Fitzroy","124 Westgarth St",3,"h",1481000,"S","Jellis",2016-08-13,1.6,3065,3,2,1,138,NA,1900,"Yarra",-37.795,144.9806,"Northern Metropolitan",5825
"2533","Fitzroy","258 Napier St",3,"h",2200000,"VB","Nelson",2016-04-16,1.6,3065,3,2,1,187,NA,NA,"Yarra",-37.8003,144.9806,"Northern Metropolitan",5825
"2534","Fitzroy","431 George St",3,"h",1250000,"PI","Nelson",2016-09-17,1.6,3065,3,1,1,113,105,1890,"Yarra",-37.7966,144.9821,"Northern Metropolitan",5825
"2535","Fitzroy","190 Gore St",2,"h",1440000,"S","Nelson",2016-09-17,1.6,3065,3,1,0,95,NA,NA,"Yarra",-37.8032,144.9825,"Northern Metropolitan",5825
"2536","Fitzroy","20 Westgarth St",2,"h",1315000,"S","Jellis",2017-03-18,1.6,3065,2,1,0,141,NA,NA,"Yarra",-37.7946,144.9765,"Northern Metropolitan",5825
"2537","Fitzroy","31 Bell St",4,"h",1950000,"S","Nelson",2016-06-18,1.6,3065,4,1,0,177,152,1890,"Yarra",-37.7999,144.9759,"Northern Metropolitan",5825
"2538","Fitzroy","5/113 Cecil St",1,"u",597000,"S","Harrington",2016-06-18,1.6,3065,1,1,1,0,NA,2000,"Yarra",-37.7941,144.9802,"Northern Metropolitan",5825
"2539","Fitzroy","24/26 Victoria St",2,"u",650000,"S","Nelson",2016-06-18,1.6,3065,2,1,1,0,NA,NA,"Yarra",-37.799,144.9756,"Northern Metropolitan",5825
"2540","Fitzroy","113/300 Young St",1,"u",465000,"SP","Jellis",2016-11-19,1.6,3065,1,1,1,0,52,2011,"Yarra",-37.7974,144.9799,"Northern Metropolitan",5825
"2541","Fitzroy","60 Bell St",4,"h",1620000,"S","Nelson",2016-05-22,1.6,3065,3,2,1,132,165,1880,"Yarra",-37.8004,144.9768,"Northern Metropolitan",5825
"2542","Fitzroy","47 Charles St",3,"h",1600000,"S","Nelson",2016-05-22,1.6,3065,3,2,1,261,NA,NA,"Yarra",-37.803,144.9806,"Northern Metropolitan",5825
"2543","Fitzroy","10/5 St David St",3,"u",850000,"VB","Nelson",2016-05-22,1.6,3065,3,2,1,2782,115,2000,"Yarra",-37.8005,144.9787,"Northern Metropolitan",5825
"2544","Fitzroy","309/416 Gore St",2,"u",790000,"S","Nelson",2016-08-22,1.6,3065,2,1,1,0,NA,NA,"Yarra",-37.7967,144.9836,"Northern Metropolitan",5825
"2545","Fitzroy","84 Kerr St",2,"h",1122000,"S","Nelson",2016-08-22,1.6,3065,2,1,0,106,101,1890,"Yarra",-37.7968,144.9781,"Northern Metropolitan",5825
"2546","Fitzroy","306/96 charles St",2,"u",660000,"SP","hockingstuart",2016-04-23,1.6,3065,2,2,0,0,NA,NA,"Yarra",-37.8035,144.9826,"Northern Metropolitan",5825
"2547","Fitzroy","107 Cecil St",2,"h",1300000,"S","Nelson",2016-09-24,1.6,3065,2,1,1,157,110,1900,"Yarra",-37.7941,144.98,"Northern Metropolitan",5825
"2548","Fitzroy","8/98 George St",1,"u",420000,"S","Caine",2017-02-25,1.6,3065,1,1,1,782,42,1975,"Yarra",-37.8055,144.9809,"Northern Metropolitan",5825
"2549","Fitzroy","101/416 Gore St",2,"u",715000,"S","Nelson",2016-07-26,1.6,3065,2,1,1,0,74,1900,"Yarra",-37.7967,144.9836,"Northern Metropolitan",5825
"2550","Fitzroy","206/424 Gore St",1,"u",458000,"S","hockingstuart",2016-06-27,1.6,3065,1,1,1,0,62,NA,"Yarra",-37.7964,144.9839,"Northern Metropolitan",5825
"2551","Fitzroy","116 Leicester St",2,"h",8e+05,"VB","Harrington",2016-06-27,1.6,3065,2,2,1,64,138,1995,"Yarra",-37.7956,144.9804,"Northern Metropolitan",5825
"2552","Fitzroy","9/56 Leicester St",2,"t",710000,"S","Jellis",2016-06-27,1.6,3065,2,1,1,0,90,2002,"Yarra",-37.7953,144.9775,"Northern Metropolitan",5825
"2553","Fitzroy","6/226 Moor St",2,"u",630000,"VB","hockingstuart",2016-06-27,1.6,3065,2,1,1,0,70,2007,"Yarra",-37.8024,144.9835,"Northern Metropolitan",5825
"2554","Fitzroy","17 Bell St",4,"h",4011000,"S","Nelson",2016-11-27,1.6,3065,4,3,2,286,275,1890,"Yarra",-37.7999,144.9755,"Northern Metropolitan",5825
"2555","Fitzroy","11 Henry St",2,"h",677000,"S","Chambers",2016-11-27,1.6,3065,2,1,0,67,NA,1850,"Yarra",-37.7969,144.9759,"Northern Metropolitan",5825
"2556","Fitzroy North","233/4 Bik La",2,"u",7e+05,"SP","Woodards",2016-09-03,3.5,3068,2,2,1,4332,85,2010,"Yarra",-37.7846,144.9785,"Northern Metropolitan",6244
"2557","Fitzroy North","470 Brunswick St",2,"h",860000,"S","Woodards",2016-09-03,3.5,3068,2,1,0,104,70,1880,"Yarra",-37.7927,144.9796,"Northern Metropolitan",6244
"2558","Fitzroy North","50 Freeman St",2,"h",870000,"S","Nelson",2016-09-03,3.5,3068,2,1,0,107,64,1910,"Yarra",-37.7898,144.9794,"Northern Metropolitan",6244
"2559","Fitzroy North","76 Newry St",2,"h",1116000,"S","Nelson",2016-09-03,3.5,3068,3,1,0,152,NA,NA,"Yarra",-37.791,144.9809,"Northern Metropolitan",6244
"2560","Fitzroy North","2 Pilkington St",4,"h",1450000,"VB","Nelson",2016-09-03,3.5,3068,4,2,1,266,175,1950,"Yarra",-37.7797,144.9861,"Northern Metropolitan",6244
"2561","Fitzroy North","186 Queens Pde",2,"t",930000,"S","Nelson",2016-09-03,3.5,3068,2,3,0,2778,3558,NA,"Yarra",-37.7903,144.9859,"Northern Metropolitan",6244
"2562","Fitzroy North","129/4 Bik La",2,"u",7e+05,"SP","Collins",2017-03-04,3.5,3068,2,2,2,4296,NA,2011,"Yarra",-37.7846,144.9785,"Northern Metropolitan",6244
"2563","Fitzroy North","276 McKean St",3,"h",2170000,"S","Nelson",2017-03-04,3.5,3068,3,2,1,177,NA,NA,"Yarra",-37.7851,144.9934,"Northern Metropolitan",6244
"2564","Fitzroy North","7/14 Rae St",1,"u",358500,"SP","Jellis",2017-03-04,3.5,3068,1,1,1,0,40,1975,"Yarra",-37.7925,144.9786,"Northern Metropolitan",6244
"2565","Fitzroy North","24 Taylor St",3,"h",1e+06,"VB","Nelson",2017-03-04,3.5,3068,3,1,0,249,NA,NA,"Yarra",-37.7754,144.9806,"Northern Metropolitan",6244
"2566","Fitzroy North","51 Rae St",2,"h",770000,"SA","Nicholson",2016-06-04,3.5,3068,2,2,1,134,151,1905,"Yarra",-37.7916,144.9784,"Northern Metropolitan",6244
"2567","Fitzroy North","92 Scotchmer St",2,"h",1008000,"S","LITTLE",2016-08-06,3.5,3068,2,1,1,150,77,1890,"Yarra",-37.7833,144.9819,"Northern Metropolitan",6244
"2568","Fitzroy North","5/35 Jamieson St",3,"t",1015000,"S","Collins",2016-10-08,3.5,3068,3,2,1,112,145,2000,"Yarra",-37.7912,144.9825,"Northern Metropolitan",6244
"2569","Fitzroy North","780 Brunswick St",3,"h",1371000,"S","Nelson",2016-09-10,3.5,3068,2,1,1,197,128,1900,"Yarra",-37.7835,144.9816,"Northern Metropolitan",6244
"2570","Fitzroy North","1/180 Queens Pde",2,"t",1054000,"S","Chambers",2016-09-10,3.5,3068,2,2,1,0,NA,NA,"Yarra",-37.7903,144.9859,"Northern Metropolitan",6244
"2571","Fitzroy North","24 Apperley St",2,"h",1055000,"S","Harrington",2016-12-10,3.5,3068,2,1,0,122,NA,NA,"Yarra",-37.7818,144.9863,"Northern Metropolitan",6244
"2572","Fitzroy North","605/4 Bik La",2,"u",720000,"S","Woodards",2016-12-10,3.5,3068,2,2,1,4296,NA,2011,"Yarra",-37.7846,144.9785,"Northern Metropolitan",6244
"2573","Fitzroy North","201A Clauscen St",3,"h",1286000,"S","Holland",2016-12-10,3.5,3068,3,1,0,275,116,1915,"Yarra",-37.7779,144.9862,"Northern Metropolitan",6244
"2574","Fitzroy North","11 Freeman St",3,"h",1655000,"S","Nelson",2016-12-10,3.5,3068,3,1,0,176,NA,1900,"Yarra",-37.7892,144.9773,"Northern Metropolitan",6244
"2575","Fitzroy North","373 Rae St",3,"h",1181000,"S","Nelson",2016-12-10,3.5,3068,2,1,1,148,NA,NA,"Yarra",-37.7835,144.9799,"Northern Metropolitan",6244
"2576","Fitzroy North","26 Scotchmer St",3,"t",1600000,"VB","Jellis",2016-12-10,3.5,3068,3,3,1,188,129,2000,"Yarra",-37.7829,144.9788,"Northern Metropolitan",6244
"2577","Fitzroy North","13 Alister St",5,"h",2875000,"S","Nelson",2017-03-11,3.5,3068,5,2,3,818,NA,NA,"Moreland",-37.7749,144.9864,"Northern Metropolitan",6244
"2578","Fitzroy North","28 Percy St",2,"h",990000,"S","Nelson",2016-06-12,3.5,3068,2,1,0,145,NA,NA,"Yarra",-37.791,144.9779,"Northern Metropolitan",6244
"2579","Fitzroy North","74 Barkly St",4,"h",1950000,"S","Nelson",2016-05-14,3.5,3068,4,2,2,233,216,1890,"Yarra",-37.7786,144.9818,"Northern Metropolitan",6244
"2580","Fitzroy North","79 Delbridge St",4,"h",3400000,"S","Nelson",2016-05-14,3.5,3068,3,2,1,445,175,1890,"Yarra",-37.786,144.9864,"Northern Metropolitan",6244
"2581","Fitzroy North","70 Park St",4,"h",1785000,"S","Nelson",2016-05-14,3.5,3068,4,2,1,188,165,1900,"Yarra",-37.7815,144.9869,"Northern Metropolitan",6244
"2582","Fitzroy North","10 Delbridge St",2,"h",1315000,"S","Jellis",2016-10-15,3.5,3068,2,1,0,143,NA,NA,"Yarra",-37.7887,144.9888,"Northern Metropolitan",6244
"2583","Fitzroy North","2 Scotchmer St",2,"h",1210000,"S","Nelson",2016-10-15,3.5,3068,2,1,1,223,118,1885,"Yarra",-37.7829,144.9782,"Northern Metropolitan",6244
"2584","Fitzroy North","111 Best St",3,"h",1275000,"SP","Nelson",2016-04-16,3.5,3068,3,2,1,104,110,1890,"Yarra",-37.7813,144.9834,"Northern Metropolitan",6244
"2585","Fitzroy North","282 Glenlyon Rd",3,"h",1141000,"S","Nelson",2016-04-16,3.5,3068,2,1,1,378,NA,NA,"Moreland",-37.7739,144.9819,"Northern Metropolitan",6244
"2586","Fitzroy North","24 Batman St",2,"h",1255000,"S","Harrington",2017-03-18,3.5,3068,2,1,0,148,NA,NA,"Yarra",-37.7841,144.9793,"Northern Metropolitan",6244
"2587","Fitzroy North","83 Best St",3,"h",1700000,"VB","Nelson",2017-03-18,3.5,3068,3,2,1,240,NA,NA,"Yarra",-37.782,144.9834,"Northern Metropolitan",6244
"2588","Fitzroy North","35 Birkenhead St",2,"h",1290000,"S","Chambers",2017-03-18,3.5,3068,2,1,0,136,92,1890,"Yarra",-37.7819,144.9824,"Northern Metropolitan",6244
"2589","Fitzroy North","8/3 Miller St",2,"t",750000,"S","Woodards",2017-03-18,3.5,3068,2,2,2,0,95,2002,"Yarra",-37.7761,144.9792,"Northern Metropolitan",6244
"2590","Fitzroy North","9/222 Queens Pde",3,"u",674000,"S","Chambers",2017-03-18,3.5,3068,3,1,1,0,NA,NA,"Yarra",-37.7899,144.9869,"Northern Metropolitan",6244
"2591","Fitzroy North","23/86 Queens Pde",2,"u",675000,"SP","Nelson",2017-03-18,3.5,3068,2,1,2,0,92,2010,"Yarra",-37.7918,144.9824,"Northern Metropolitan",6244
"2592","Fitzroy North","44 Reid St",4,"t",1700000,"VB","Jellis",2017-03-18,3.5,3068,4,3,2,127,209,2008,"Yarra",-37.7855,144.9789,"Northern Metropolitan",6244
"2593","Fitzroy North","30 Eastham St",2,"h",875000,"S","Jellis",2016-06-18,3.5,3068,2,1,0,106,NA,NA,"Yarra",-37.7823,144.9864,"Northern Metropolitan",6244
"2594","Fitzroy North","3 Curtain Pl",3,"t",1080000,"S","Jellis",2016-11-19,3.5,3068,3,2,1,77,133,2016,"Yarra",-37.7923,144.9776,"Northern Metropolitan",6244
