"","opid","operator","atype","remarks","phase_of_flt","ac_mass","num_engs","date","time_of_day","state","height","speed","effect","sky","species","birds_seen","birds_struck"
"1146","COA","CONTINENTAL AIRLINES","MD-80","FLT 584 15 MI SW EWR REPTD A BIRD STRIKE. A/C LANDED & TAXIED TO  RAMP W/O INCID. NO DAMAGE REPTD & TWR POSTED A BIRD ALERT ON  ATIS.","Approach",4,2,1990-10-24,"Night","NJ",2000,180,"None","No Cloud","UNKNOWN BIRD - SMALL","2-Oct","1"
"1147","MDW","MIDWAY AIRLINES","DC-9","NO DAMAGE","Approach",4,2,1990-11-26,"Day","GA",975,180,NA,"No Cloud","EUROPEAN STARLING",NA,"1"
"1148","AAL","AMERICAN AIRLINES","MD-80","ALL A/C LIGHTS WERE ON. NO DAMAGE.","Approach",4,2,1990-07-22,"Day","TX",1000,140,NA,"No Cloud","UNKNOWN BIRD - SMALL",NA,"1"
"1149","BUS","BUSINESS","RKWL SABRLNR","BIRD BUMPED & SPLATERED ON WING. NO DAMAGE.","Landing Roll",3,2,1991-04-30,"Day","VA",0,100,NA,"Overcast","GULLS",NA,"1"
"1150","AAL","AMERICAN AIRLINES","MD-80","NO DAMAGE.","Climb",4,2,1990-06-05,"Day","OK",100,180,NA,"No Cloud","ROCK PIGEON",NA,"1"
"1151","AAL","AMERICAN AIRLINES","MD-80","NO DAMAGE/INJURY. TIME = 2050 LCL.","Approach",4,2,1991-04-07,"Night","CT",1000,150,"None","No Cloud","UNKNOWN BIRD - MEDIUM",NA,"1"
"1152","BUS","BUSINESS","BE-58  BARON","HIT A FLOCK, ASSUME 2-10. NO DAMAGE.",NA,2,2,1990-09-10,"Day","PA",0,90,NA,"Overcast","GULLS","2-Oct","2-Oct"
"1153","AMF","AMERIFLIGHT","PA-31 NAVAJO","GRAY & YELLOW BIRD. NO DAMAGE.","Climb",2,2,1990-09-06,"Day","CA",6500,130,NA,"No Cloud","UNKNOWN BIRD - SMALL","2-Oct","2-Oct"
"1154","BUS","BUSINESS","PA-23-250","NO DAMAGE/INJURY","Take-off run",2,2,1991-06-03,"Day","KY",0,50,NA,"No Cloud","AMERICAN CROW",NA,"1"
"1155","UAL","UNITED AIRLINES","B-737-300","ATIS WARNING","Take-off run",4,2,1990-11-01,"Dawn","CA",0,120,"None","No Cloud","KILLDEER","2-Oct","1"
"1156","AAL","AMERICAN AIRLINES","DC-10-10","NO DAMAGE. BIRD RETPD AS GULL, NOT LIKELY.","Landing Roll",4,3,1991-11-15,"Night","HI",0,140,"None","No Cloud","UNKNOWN BIRD - MEDIUM",NA,"1"
"1157","AAH*","ALOHA AIRLINES","B-737","NO DAMAGE.","Climb",4,2,1991-10-17,"Day","HI",100,130,"None","Some Cloud","UNKNOWN BIRD - SMALL",NA,"1"
"1158","USA","US AIRWAYS","B-737-400",NA,"En Route",4,2,1991-10-18,"Day","FL",11000,250,"None","No Cloud","UNKNOWN BIRD - MEDIUM","2-Oct","1"
"1159","SWA","SOUTHWEST AIRLINES","B-737-200","LARGE DENT & 8"" STRESS CRACK ALONG RIVET LINE ON LEADING EDGE.  LOSS OF REVENUE DUE TO LOST FLIGHT","Climb",4,2,1990-05-16,"Night","TX",10500,260,"Other","Some Cloud","UNKNOWN BIRD - MEDIUM",NA,"1"
"1160","NAE","NASHVILLE EAGLE","ATR-42","RADAR UNIT AND DOME DAMAGED. ARFF RESPONDED. A/C LANDED W/O  INCIDENT.","Approach",3,2,1992-04-01,"Day","NY",2000,220,"None","Some Cloud","DUCKS, GEESE, SWANS","11-100","2-Oct"
"1161","JAL","JAPAN AIRLINES","B-747","NO DAMAGE/INJURY.","Take-off run",4,4,1991-10-20,NA,"CA",0,100,NA,"No Cloud","UNKNOWN BIRD",NA,"1"
"1162","ACA","AIR CANADA","DC-9-30","NO DAMAGE","Approach",4,2,1990-11-24,"Day","NY",30,130,"None","Some Cloud","EUROPEAN STARLING","2-Oct","1"
"1163","AAL","AMERICAN AIRLINES","MD-80","NO DAMAGE - BLOOD AND FEATHER RESIDUE TO A/C","Climb",4,2,1990-11-02,"Dawn","CA",100,150,"None","No Cloud","UNKNOWN BIRD - SMALL","2-Oct","2-Oct"
"1164","AAL","AMERICAN AIRLINES","B-727-200","NO DAMAGE/INJURY. PIGEON?","Approach",4,3,1991-02-26,"Day","IL",200,140,NA,"Some Cloud","ROCK PIGEON",NA,"1"
"1165","PDT","PIEDMONT AIRLINES","C-172","STRUCK BIRD ABOUT 7 MI SE OF KROA. NO DAMAGE","Approach",1,1,1993-08-29,"Night","VA",3800,90,"None","No Cloud","UNKNOWN BIRD - MEDIUM",NA,"1"
"1166","AAL","AMERICAN AIRLINES","B-727","NO DAMAGE","Approach",4,3,1992-09-28,"Day","MO",300,135,NA,"No Cloud","UNKNOWN BIRD - SMALL",NA,"1"
"1167","ASQ","ATLANTIC SOUTHEAST","EMB-120","FLT 507. HIT BIRD AT ROTATION POINT OF T/O. BIRD HIT BOTTOM  OF WINDSHIELD DID NOT DO ANY DAMAGE.","Take-off run",3,2,1990-11-10,"Dusk","GA",0,103,"None","No Cloud","ROCK PIGEON",NA,"1"
"1168","MDW","MIDWAY AIRLINES","DC-9","NO DAMAGE","Approach",4,2,1990-10-16,"Night","PA",1800,140,NA,"No Cloud","UNKNOWN BIRD - SMALL",NA,"1"
"1169","AWI","AIR WISCONSIN AIRLINES","BA-146","RADOME DAMAGED. LOSS OF REVENUE.","Climb",4,4,1990-03-03,"Day","DC",1200,180,NA,NA,"UNKNOWN BIRD - LARGE",NA,"1"
"1170","SDU","WESTAIR COMMUTER","EMB-120","NO DAMAGE","Landing Roll",3,2,1990-06-25,"Day","CA",0,100,NA,"No Cloud","UNKNOWN BIRD - SMALL",NA,"1"
"1171","USA","US AIRWAYS","FK-28-1000","NO DAMAGE. LIGHT RAIN.","Take-off run",4,2,1990-06-23,"Day","FL",0,110,NA,NA,"UNKNOWN BIRD - SMALL",NA,"1"
"1172","USA","US AIRWAYS","BA-146","REPORTED DAMAGE . COMPRESSOR FAILURE 100% INGESTED 1 OR  MORE BIRDS.","Climb",4,4,1990-06-28,"Day","CA",50,115,"Engine Shut Down","No Cloud","HAWKS",NA,"1"
"1173","MES","MESABA AIRLINES","MERLIN IV","INFO RE THIS STRIKE CAME AVAILABLE TO ERIE ATCT ON 07-09-90 THRU  ARPT MGR.  PILOT DID NOT REPORT IT TO THE TWR. ENG REMOVED FOR  INSPN. REPORTS DIFFER ON # AND SIZE OF BIRD(S), EFFECT ON FLIGHT.","Approach",2,2,1990-07-07,"Day","PA",500,140,"Precautionary Landing","No Cloud","BLACKBIRDS",NA,"2-Oct"
"1174","USA","US AIRWAYS","B-737-200","BENT COMPRESSOR BLADES.","Approach",4,2,1991-04-06,"Night","NY",150,145,"None","Some Cloud","GULLS",NA,"2-Oct"
"1175","UAL","UNITED AIRLINES","B-737-500","CAPT FORWARD WINDSHLD. NO DAMAGE.","Climb",4,2,1996-12-15,NA,"CA",480,180,NA,NA,"UNKNOWN BIRD - MEDIUM",NA,"1"
"1176","AAL","AMERICAN AIRLINES","B-727-200","SMALL DENT OVER CO-PILOT'S WINDSHIELD. LARGE AREA OF REMAINS ON  WINDSHIELD. (DATA ENTRY NOTE: FORM HAD DTW AS AIRPORT, BUT RWY  DID NOT MATCH DTW, IT DOES MATCH DFW AND THAT WAS ALSO THE  POSTMARK)","Approach",4,3,1993-08-07,"Day","TX",10,140,"None","No Cloud","BLACKBIRDS","2-Oct","1"
"1177","AAL","AMERICAN AIRLINES","MD-80","HIT A FLOCK, ASSUME 2-10. BIRD REPTD AS COWBIRD, MAY HAVE MEANT  CATTLE EGRET OR BROWN-HEADED COWBIRD.","Approach",4,2,1990-05-02,"Night","TX",40,120,NA,"Overcast","BROWN-HEADED COWBIRD","2-Oct","2-Oct"
"1178","AAL","AMERICAN AIRLINES","B-727-200","HIT A FLOCK, ASSUME 2-10. NO DAMAGE","Approach",4,3,1990-05-03,"Day","TX",50,135,NA,"Overcast","GULLS","2-Oct","2-Oct"
"1179","AAL","AMERICAN AIRLINES","DHC8 DASH 8","NO DAMAGE. FLT 498.","Climb",3,2,1990-08-01,"Day","ME",2000,250,NA,NA,"GULLS",NA,"1"
"1180","AAL","AMERICAN AIRLINES","MD-80","RT WING LE SLAT DAMAGED.","Climb",4,2,1990-06-10,"Day","FL",1000,180,NA,"Some Cloud","GULLS",NA,"1"
"1181","AAL","AMERICAN AIRLINES","MD-80","UNKN IF DAMAGE.","Approach",4,2,1990-09-07,"Night","DC",1485,160,NA,"No Cloud","UNKNOWN BIRD - SMALL",NA,"1"
"1182","AAL","AMERICAN AIRLINES","DC-9-80","NO DAMAGE","Approach",4,2,1992-02-29,"Night","AR",1800,160,"None","Some Cloud","UNKNOWN BIRD - SMALL",NA,"1"
"1183","BUS","BUSINESS","CITATION II","BIRDSTRIKE REQUIRED ONLY CLEANUP","Approach",3,2,1990-09-25,"Day","MI",200,115,"None","Some Cloud","UNKNOWN BIRD - SMALL",NA,"1"
"1184","USA","US AIRWAYS","FK-28-4000","DID NOT APPEAR TO CRACK WINDSHIELD - MAINT. LOOKING AT A/C IN  IAD TO VERIFY.","Descent",4,2,1991-04-04,"Night","DC",3000,200,"None","No Cloud","UNKNOWN BIRD - MEDIUM",NA,"1"
"1185","BKA","BANKAIR","PA-34 SENECA",NA,"Approach",1,2,1992-05-14,"Day","NC",15,90,"None","Some Cloud","BLACKBIRDS","2-Oct","1"
"1186","UNK","UNKNOWN","EMB-120","SHORTLY AFTER ROTATION, WHILE GEAR WAS IN TRANSITION, 1 BIRD  FLEW FROM THE RUNWAY STRIKING THE RT SIDE OF THE A/C.  THIS WAS  HEARD FROM THE COCKPIT BUT COULD NOT BE SEEN.","Climb",3,2,1990-09-21,"Day","TX",50,110,"Precautionary Landing","Some Cloud","ROCK PIGEON",NA,"1"
"1187","DAL","DELTA AIR LINES","DC-9","FLT 1048. 2 BIRDS WERE STRUCK AT 2 DIFFERENT TIMES.  ONE ON  WINDSHIELD,THE OTHER ON THE RADAME","Approach",4,2,1990-10-11,"Night","AL",2600,190,"None","Overcast","UNKNOWN BIRD - SMALL",NA,"2-Oct"
"1188","JIA","PSA AIRLINES","BA-31 JETSTR","NO DAMAGE/INJURY","Landing Roll",2,2,1990-06-23,"Day","OH",0,100,NA,"Overcast","AMERICAN CROW",NA,"1"
"1189","UAL","UNITED AIRLINES","A-320","CREW FELT SIGNIFICANT BUMP WHILE FLYING STRAIGHT AND LEVEL AT 13,000 FT. (ASSUME MSL). UPON LANDING, BIRDSTRIKE CONFIRMED, 2 FT x 3 FT DENT IN RADOME.","Approach",4,2,1996-08-20,NA,"CO",7600,250,NA,NA,"UNKNOWN BIRD",NA,"1"
"1190","UNK","UNKNOWN","C-172",NA,"Landing Roll",1,1,1994-07-22,"Day","WI",0,80,"None","Some Cloud","UNKNOWN BIRD - SMALL",NA,"1"
"1191","AAL","AMERICAN AIRLINES","B-757-200","NO DAMAGE/INJURY.","Approach",4,2,1991-03-20,"Night","DC",1000,140,NA,"No Cloud","UNKNOWN BIRD - MEDIUM",NA,"1"
"1192","SWA","SOUTHWEST AIRLINES","B-737-300","NO DAMAGE.","Landing Roll",4,2,1990-09-20,"Day","CA",0,90,NA,"Some Cloud","MOURNING DOVE","2-Oct","2-Oct"
"1193","JIA","PSA AIRLINES","BA-31 JETSTR","NO DAMAGE. FLT 4181.","Landing Roll",2,2,1990-09-17,"Day","IN",0,110,"None","Some Cloud","EUROPEAN STARLING","11-100","1"
"1194","NWA","NORTHWEST AIRLINES","DC-9","FLT696 TIME = 0118Z","Approach",4,2,1992-05-16,"Night","NY",500,130,"None","No Cloud","GULLS","2-Oct","2-Oct"
"1195","SWA","SOUTHWEST AIRLINES","B-737-300","NO DAMAGE/INJURY","Landing Roll",4,2,1991-05-07,"Day","TX",0,90,NA,"Some Cloud","KILLDEER",NA,"1"
"1196","MTN","MOUNTAIN AIR CARGO","C-208","NO DAMAGE TO A/C.","En Route",2,1,1991-05-10,"Night","NC",3000,142,"None","Some Cloud","DOVES",NA,"1"
"1197","LOF","TRANS STATES AIRLINES","BA-31 JETSTR","UNKN IF DAMAGE. NO INJURY. HIT A FLOCK, ASSUME 2-10. FLT 440.","Climb",2,2,1991-02-03,"Day","MO",2400,190,NA,"Some Cloud","DUCKS",NA,"2-Oct"
"1198","DAL","DELTA AIR LINES","B-727","FLT 537.","Approach",4,3,1991-05-10,"Dusk","GA",50,130,"None","Some Cloud","UNKNOWN BIRD - SMALL",NA,"1"
"1199","PVT","PRIVATELY OWNED","BELLANCA CMP","NO DAMAGE/INJURY. TIME = 1909 EDT.","Landing Roll",1,1,1991-05-03,"Dusk","CT",0,40,"None","No Cloud","GULLS","2-Oct","1"
"1200","GOV","GOVERNMENT","BELL-206","EFFECT ON FLT ALSO INCLUDES VIBRATION & PRECAUTIONARY LANDING. (DATA ENTRY NOTE: ASSUME INGESTION)","En Route",1,1,1991-12-17,"Day","FL",300,80,"Engine Shut Down","No Cloud","VULTURES",NA,"1"
"1201","USA","US AIRWAYS","B-737-400",NA,"Climb",4,2,1991-08-29,"Day","VA",200,200,"None","No Cloud","GULLS",NA,"1"
"1202","AAL","AMERICAN AIRLINES","B-727","POSSIBLE BIRD STRIKE - LANDING ROLL. # NOT REPTD, JUST FLOCK,  ASSUME 2-10.","Landing Roll",4,3,1990-12-07,"Day","TX",0,120,"None","No Cloud","MOURNING DOVE","2-Oct","2-Oct"
"1203","UPS","UPS AIRLINES","B-727-200","NO DAMAGE OR PERTINENT INFORMATION PROVIDED","Approach",4,3,1991-07-03,"Dawn","GA",50,120,"None","Some Cloud","UNKNOWN BIRD - SMALL",NA,"1"
"1204","UAL","UNITED AIRLINES","B-727","HIT A FLOCK, ASSUME 2-10. NO DAMAGE. FLT 658.","Approach",4,3,1990-08-31,"Day","MD",200,135,NA,"No Cloud","GULLS","2-Oct","2-Oct"
"1205","UAL","UNITED AIRLINES","B-737-300","TIME = 1450 EDT. NO DAMAGE.","Approach",4,2,1991-08-05,"Day","NH",50,135,NA,"Some Cloud","UNKNOWN BIRD - SMALL",NA,"1"
"1206","NWA","NORTHWEST AIRLINES","B-747","FLT 122. TIME = 1330GMT. A/C HAD A COMPRESSOR STALL, RTRND &  LANDED W/O INCIDENT.  TIME WAS 0830CDT.  HUNDREDS OF CARCASSES  LITTERED RY.  MAINT REPTS #3 ENG WILL BE R&R'D, FAN ON #2 WILL BE  R&R'D AND BLADES ON #'S 1 & 4 WILL HVE TO BE BLENDED.","Climb",4,4,1993-07-23,"Day","MN",100,150,"Precautionary Landing","Overcast","EUROPEAN STARLING",NA,"Over 100"
"1207","AAL","AMERICAN AIRLINES","MD-80","NO DAMAGE/INJURY. FLT 771.","Approach",4,2,1991-05-27,"Day","CA",25,110,NA,"No Cloud","UNKNOWN BIRD - MEDIUM",NA,"1"
"1208","PVT","PRIVATELY OWNED","C-152","NO DAMAGE","En Route",1,1,1992-11-22,"Night","CA",700,75,NA,"Overcast","UNKNOWN BIRD",NA,"1"
"1209","AAL","AMERICAN AIRLINES","B-727","NO DAMAGE.","Landing Roll",4,3,1990-08-22,"Day","CO",0,140,NA,"No Cloud","UNKNOWN BIRD - SMALL",NA,"1"
"1210","AAL","AMERICAN AIRLINES","MD-80","NO DAMAGE","Approach",4,2,1990-05-05,"Day","LA",200,125,NA,"Some Cloud","BLACKBIRDS",NA,"1"
"1211","UPS","UPS AIRLINES","B-757-200","ENCOUNTERED FLOCK ON LANDING ROLL WHILE IN REVERSE. BIRD ACTIVITY REPORDTED TO ATC. MX INFORMED OF POSSIBLE BIRD STRIKE.  FLT CREW POST FLIGHTED A/C NO DAMAGE NOTED AT THAT TIME. DAMAGE REPORTED BY MX. NO UNUSUAL ENGINE INDICATIONS NOTED BY CREW.","Landing Roll",4,2,1993-08-13,"Day","KY",0,95,"None","Overcast","UNKNOWN BIRD - MEDIUM","2-Oct","2-Oct"
"1212","AAL","AMERICAN AIRLINES","MD-80","NO DAMAGE. # BIRDS NOT REPTD, ASSUME 1.","Approach",4,2,1990-05-05,"Night","CA",10400,260,NA,"No Cloud","UNKNOWN BIRD",NA,"1"
"1213","AAL","AMERICAN AIRLINES","MD-80","FLT 778 HAD NO DAMAGE.","Take-off run",4,2,1990-05-08,"Day","CA",0,135,NA,"No Cloud","AMERICAN ROBIN",NA,"1"
"1214","USA","US AIRWAYS","DC-9-30","NO DAMAGE.","Take-off run",4,2,1990-11-02,"Day","NH",0,147,"Precautionary Landing","No Cloud","SPARROWS","11-100","11-100"
"1215","USA","US AIRWAYS","FK-100","NO DAMAGE, INJURIES, OR EFFECT ON FLIGHT.","Approach",4,2,1992-11-26,"Day","NC",10,120,"None","Overcast","UNKNOWN BIRD - SMALL","2-Oct","1"
"1216","MDW","MIDWAY AIRLINES","DC-9-30","NO DAMAGE/INJURY. TIME = 1212Z.","Take-off run",4,2,1991-06-06,"Day","DC",0,140,NA,"No Cloud","UNKNOWN BIRD - SMALL",NA,"1"
"1217","BUS","BUSINESS","DA-50 FALCON","STRUCK A FLOCK OF BIRDS ON T/D.  NO DAMAGE REPTD.","Landing Roll",3,3,1992-09-04,"Day","MA",0,85,NA,"Some Cloud","SPARROWS","2-Oct","2-Oct"
"1218","AAL","AMERICAN AIRLINES","MD-82","NO DAMAGE/INJURY.","Take-off run",4,2,1991-07-10,"Day","NY",0,100,NA,"No Cloud","UNKNOWN BIRD - SMALL",NA,"1"
"1219","AAL","AMERICAN AIRLINES","MD-80","NO DAMAGE/INJURY","Climb",4,2,1991-05-09,"Day","DC",100,160,NA,"Overcast","UNKNOWN BIRD - SMALL",NA,"1"
"1220","UPS","UPS AIRLINES","B-747","FLT 2971. NO DAMAGE. TIME = 1210PM","Landing Roll",4,4,1992-08-25,"Day","KY",0,150,NA,"Some Cloud","HAWKS",NA,"1"
"1221","SDU","WESTAIR COMMUTER","BA-31 JETSTR","FLICKER SIZED BIRD FLEW FROM R TO L IN FRONT OF A/C ON LDG  ROLLOUT. FOUND BLOOD & FEATHERS ON L PROP & WING OUTBOARD OF ENG.  MAINT. EXAMINED A/C - REPTD NO DAMAGE. TIME OUT OF SVC = 10 MINS.","Landing Roll",2,2,1991-07-08,"Day","CA",0,60,"None","No Cloud","UNKNOWN BIRD - SMALL",NA,"1"
"1222","EGF","AMERICAN EAGLE AIRLINES","SAAB-340",NA,"Approach",3,2,1993-10-22,"Day","PA",400,130,"None","No Cloud","SWALLOWS","11-100","2-Oct"
"1223","AWB","AIRWAYS INTL","C-402","SLIGHT VIBRATION IN A/C.  DAMAGE TO WING, MOST OUTER PART OF  LEADING EDGE.","En Route",2,2,1994-02-08,"Day","FL",2000,160,"Other","Some Cloud","UNKNOWN BIRD - LARGE","2-Oct","1"
"1224","AWE","AMERICA WEST AIRLINES","B-737-300",NA,"Approach",4,2,1993-10-25,"Dusk","GA",50,120,"None","No Cloud","EUROPEAN STARLING",NA,"11-100"
"1225","UPS","UPS AIRLINES","DC-8-70","DURING LANDING ROLL, I SAW A GULL TAKEOFF FROM RWY & HEAD LEFT.   I THOUGHT WE MISSED HIM BUT I WAS TOLD TWO DAYS LATER THAT THE #2  ENG. HAD INGESTED A BIRD.  I PRESUME THE BIRD I SAW WAS THE ONE  THAT WENT INTO THE ENG. BLADE SHINGLING (MIDSPAN). 4 BLADES .","Landing Roll",4,4,1991-05-07,"Dawn","NJ",0,100,"None","Some Cloud","GULLS",NA,"1"
"1226","MTR","METROFLIGHT","BA-31 JETSTR","BIG BLACK BIRD. UPPER NOSE COMPARTMENT DAMAGED. REPT SAID THEY  SAW 2 BIRDS BUT HIT 1. WINDSCRN OF PILOT WAS TOTALLY OBSCURED W/  REMAINS. F/O'S WAS CLEAR. PILOT INSTRUCTED HER TO TAKE CTL OF  A/C. LANDED A/CT W/ NO INCIDENT. TAXIED USING DV WINDOW & F/O  WINDSCREEN.","Descent",2,2,1992-11-27,"Day","TX",2500,190,"Other","No Cloud","VULTURES","2-Oct","1"
"1227","BUS","BUSINESS","C-560","HAZE.","Approach",1,2,1993-07-28,"Day","MS",30,100,"None","Overcast","SPARROWS","2-Oct","1"
"1228","BUS","BUSINESS","B-737-300","1/10 OF A SECOND GLIMPSE OF BIRD BEFORE IMPACT ABOVE F/O  WINDSHLD. DARK, CLEAR NIGHT. LIGHTS WERE ON.  CANADA GOOSE?","Approach",4,2,1990-11-07,"Night","MO",2000,210,NA,"No Cloud","CANADA GOOSE",NA,"1"
"1229","TWA","TRANS WORLD AIRLINES","DC-9-10","ENG CHECKED BY CREW. NO DAMAGE. ENG # NOT REPTD, ASSUME # 1. HIT  2 BIRDS.","Approach",4,2,1990-05-29,"Night","KY",75,130,NA,"Some Cloud","UNKNOWN BIRD - MEDIUM",NA,"2-Oct"
"1230","AAL","AMERICAN AIRLINES","B-727","ATIS WARNING","Approach",4,3,1990-09-23,"Night","LA",1100,180,"None","No Cloud","UNKNOWN BIRD - SMALL",NA,"1"
"1231","BUS","BUSINESS","C-425","NO DAMAGE","Climb",2,2,1992-06-01,"Day","CT",300,125,"None","Overcast","EUROPEAN STARLING",NA,"1"
"1232","BUS","BUSINESS","SAAB-340","NO DAMAGE.","Climb",3,2,1990-07-25,"Day","NY",400,120,NA,"No Cloud","UNKNOWN BIRD",NA,"1"
"1233","AAL","AMERICAN AIRLINES","B-727-200","NO DAMAGE/INJURY. LIGHT WINDS. HIT A FLOCK, ASSUME 2-10.","Take-off run",4,3,1991-02-17,"Day","LA",0,125,NA,"Overcast","BLACKBIRDS","2-Oct","2-Oct"
"1234","AAL","AMERICAN AIRLINES","DC-9-80","OBSVD 1 BIRD JUST PRIOR TO IMPACT. INSPCTD A/C AFTER LDG. NO  DAMAGE FOUND.","Approach",4,2,1991-09-23,"Night","CA",500,116,"None","No Cloud","UNKNOWN BIRD - SMALL",NA,"1"
"1235","AAL","AMERICAN AIRLINES","B-727-200","NO DAMAGE.","Landing Roll",4,3,1990-08-20,"Day","MI",0,80,NA,"Overcast","BLACKBIRDS",NA,"1"
"1236","AAL","AMERICAN AIRLINES","MD-82","NO DAMAGE.","Descent",4,2,1990-09-16,"Day","TX",6000,210,NA,"Some Cloud","UNKNOWN BIRD - MEDIUM",NA,"1"
"1237","NWA","NORTHWEST AIRLINES","DC-9","NO DAMAGE/INJURY","Climb",4,2,1991-07-22,"Day","VA",100,180,NA,"No Cloud","HAWKS",NA,"1"
"1238","NWA","NORTHWEST AIRLINES","DC-9",NA,"Landing Roll",4,2,1993-08-24,"Day","MI",0,100,"None","Overcast","GULLS",NA,"1"
"1239","UAL","UNITED AIRLINES","B-727-200","2 BIRDS.  NO DAMAGE. HIT WINDSCREEN & #3 LE FLAP.","Landing Roll",4,3,1993-07-23,"Day","NY",0,125,"None","No Cloud","SPARROWS","2-Oct","2-Oct"
"1240","BTA","EXPRESSJET (CONTINENTAL EXPRS)","EMB-120",NA,"Climb",3,2,1993-08-14,"Day","TX",400,150,"Precautionary Landing","No Cloud","UNKNOWN BIRD - SMALL",NA,"1"
"1241","AAL","AMERICAN AIRLINES","MD-80",NA,"Approach",4,2,1992-07-31,"Night","TX",800,160,"None","Overcast","UNKNOWN BIRD - SMALL",NA,"1"
"1242","DAL","DELTA AIR LINES","MD-88","NO DAMAGE TO FLT 1163","Approach",4,2,1992-07-31,"Day","GA",50,120,"None","Some Cloud","SPARROWS",NA,"1"
"1243","USA","US AIRWAYS","DC-9","RAIN. NO DAMAGE REPTD.","Take-off run",4,2,1993-10-02,"Day","PA",0,155,"None","Overcast","UNKNOWN BIRD - MEDIUM",NA,"1"
"1244","AAL","AMERICAN AIRLINES","B-727","LARGE BIRD HIT COPILOTS WINDOW - NO DAMAGE.","Climb",4,3,1991-09-05,"Day","FL",1700,200,"None",NA,"UNKNOWN BIRD - MEDIUM",NA,"1"
"1245","AWE","AMERICA WEST AIRLINES","A-320","NO DAMAGE.","Approach",4,2,1992-11-29,"Day","OH",200,120,"None","Overcast","UNKNOWN BIRD - SMALL",NA,"2-Oct"
"1246","JAL","JAPAN AIRLINES","DC-10-30",NA,"Landing Roll",4,3,1993-10-25,"Day","HI",0,140,"None","Some Cloud","UNKNOWN BIRD - SMALL",NA,"1"
"1247","AAL","AMERICAN AIRLINES","B-727","BIRD STRIKE FINAL APPROACH - BLOOD EVIDENCE ABOVE RT WINDSHIELD,  NO OBVIOUS DAMAGE. ATIS WARNING.","Approach",4,3,1991-12-15,"Day","TX",500,137,"None","No Cloud","GULLS",NA,"1"
"1248","GOV","GOVERNMENT","AEROS SA365","AT TIME OF BIRD STRIKE, AIRCRAFT WAS AT 2000' MSL, WITH  POSITION, ANTI-COLLISION, LOWER & UPPER STROBE LIGHTS  ACTIVATED.","En Route",2,1,1990-10-20,"Night","MD",1500,140,"None","No Cloud","UNKNOWN BIRD - SMALL",NA,"1"
"1249","UNK","UNKNOWN","BE-95","CAME FROM DIRECTION OF ARPT GARBAGE DUMP!","Take-off run",1,2,1990-09-05,"Day","GA",0,75,NA,"Some Cloud","ROCK PIGEON",NA,"1"
"1250","SWA","SOUTHWEST AIRLINES","B-737-300","NO DAMAGE.","Approach",4,2,1990-09-15,"Day","TX",1800,150,NA,"No Cloud","UNKNOWN BIRD - SMALL",NA,"1"
"1251","AAL","AMERICAN AIRLINES","MD-80","DAMAGE UNKNOWN. FLT 1213. DRIZZLE.","Take-off run",4,2,1991-01-08,"Day","TN",0,130,"None","Overcast","UNKNOWN BIRD - SMALL",NA,"1"
"1252","BUS","BUSINESS","DA-20 FALCON","SPARROWS/SWALLOW","Approach",3,2,1990-07-14,"Day","OH",50,120,"None","Overcast","UNKNOWN BIRD - SMALL","11-100","2-Oct"
"1253","BUS","BUSINESS","PA-31 NAVAJO","NO INJURIES, NO KNOWN NOTICEABLE DAMAGE","En Route",2,2,1990-05-15,"Night","WA",8000,170,"None","No Cloud","UNKNOWN BIRD",NA,"1"
"1254","BUS","BUSINESS","BE-90  KING","NO DAMAGE","Climb",2,2,1993-09-23,"Day","TN",1800,190,"None","Some Cloud","UNKNOWN BIRD - SMALL","2-Oct","1"
"1255","AAL","AMERICAN AIRLINES","B-727-100","DENT LOWER FUSELAGE JUST AFT OF RADOME, SKIN BELOW RT INBD LDG  LITE PULLED FROM FRAME.","Climb",4,3,1990-09-17,"Day","FL",16000,300,NA,"No Cloud","UNKNOWN BIRD - MEDIUM",NA,"1"
"1256","BUS","BUSINESS","RKWL SHRIKE",NA,"Landing Roll",2,2,1991-06-18,"Day","NE",0,90,"None","No Cloud","UNKNOWN BIRD - SMALL",NA,"1"
"1257","ACA","AIR CANADA","B-767","NO DAMAGE/INJURY","Landing Roll",4,2,1991-04-15,"Day","CA",0,140,NA,"No Cloud","UNKNOWN BIRD - SMALL",NA,"1"
"1258","GOV","GOVERNMENT","GULFAERO IV","FOG, NO DAMAGE.","Approach",4,2,1992-11-04,"Day","CT",25,90,NA,"Overcast","MOURNING DOVE",NA,"1"
"1259","AAL","AMERICAN AIRLINES","B-727","BIRD HIT RT FORWARD FUSELAGE, NO DAMAGE.","Approach",4,3,1992-10-30,"Night","NY",2000,170,"None","Overcast","GULLS",NA,"1"
"1260","USA","US AIRWAYS","B-737",NA,"Landing Roll",4,2,1993-08-11,"Day","CT",0,60,"None","Some Cloud","AMERICAN ROBIN",NA,"1"
"1261","MRK","MARKAIR","C-207 SKYWAG","NO DAMAGE","Climb",1,1,1993-08-13,"Dusk","AK",500,100,"None","Overcast","UNKNOWN BIRD - SMALL",NA,"1"
"1262","SRV","EXECUTIVE AIR SERVICE","C-172",NA,"Landing Roll",1,1,1993-08-14,"Day","CT",0,50,"None","Some Cloud","CANADA GOOSE","11-100","2-Oct"
