"","X","Facility.HHS.Code","Facility.HHS.Desc","Last.Month.in.QTR","Triage.Category","Number.of.Attendances","Variation.in.the.number.of.attendances....","Patients.Seen.within.clinically.recommended.times....","Median.Waiting.time.to.treatment..minutes.","Patients.who.did.not.wait.for.treatment....","Patients.admitted.from.the.Emergency.Department....","Admissions.to.hospital.within.4.hours...."
"2555",37,28,"Redland Hospital","Jun-22","3",8147,7.650634249,22,58.54,28.57,36.9,53.31
"2556",38,28,"Redland Hospital","Jun-22","4",3990,5.807478123,28.5,70.68,8.22,42.99,77.12
"2557",39,28,"Redland Hospital","Jun-22","5",437,-3.53200883,32,87.19,3.66,25,89.47
"2558",40,28,"Redland Hospital","Jun-22","ALL",15466,6.427195156,17,64.02,26.61,41.19,59.8
"2559",41,29,"Logan Hospital","Jun-22","1",292,35.81395349,0,100,77.74,31.72,38.7
"2560",42,29,"Logan Hospital","Jun-22","2",8041,13.04653451,13,43.88,58.35,51.51,50.17
"2561",43,29,"Logan Hospital","Jun-22","3",13497,9.518013632,36,45.04,39.42,46.91,50.43
"2562",44,29,"Logan Hospital","Jun-22","4",5003,-13.91947694,40,62.25,17.17,41.91,62.1
"2563",45,29,"Logan Hospital","Jun-22","5",672,-8.196721311,36,80.4,8.33,53.57,76.79
"2564",46,29,"Logan Hospital","Jun-22","ALL",27505,4.996946099,26,49.07,40.56,48.18,53
"2565",47,30,"Caboolture Hospital","Jun-22","1",69,-17.85714286,0,98.55,72.46,26,27.54
"2566",48,30,"Caboolture Hospital","Jun-22","2",3376,5.269722482,8,60.33,48.4,20.07,31.28
"2567",49,30,"Caboolture Hospital","Jun-22","3",9298,7.367205543,28,53.54,33.71,15.76,38.22
"2568",50,30,"Caboolture Hospital","Jun-22","4",3388,-2.250432776,31,72.45,11.81,21.25,63.96
"2569",51,30,"Caboolture Hospital","Jun-22","5",255,-14.14141414,28,90.15,6.27,50,81.57
"2570",52,30,"Caboolture Hospital","Jun-22","ALL",16386,4.27644139,23,59.43,31.94,17.73,42.74
"2571",53,32,"Sunshine Coast University Hospital","Jun-22","1",199,0.505050505,0,100,81.41,53.7,53.77
"2572",54,32,"Sunshine Coast University Hospital","Jun-22","2",4676,8.668370904,8,69,59.56,45.35,50.41
"2573",55,32,"Sunshine Coast University Hospital","Jun-22","3",11181,10.48418972,16,70.13,43.88,36.95,51.15
"2574",56,32,"Sunshine Coast University Hospital","Jun-22","4",6603,10.43652785,25,78.48,19.01,41.67,71.07
"2575",57,32,"Sunshine Coast University Hospital","Jun-22","5",786,9.776536313,27,94.64,5.85,52.17,86.01
"2576",58,32,"Sunshine Coast University Hospital","Jun-22","ALL",23445,9.98780259,14,73.26,39.04,40.53,57.8
"2577",59,41,"Beaudesert Hospital","Jun-22","1",7,133.3333333,1,100,0,NA,71.43
"2578",60,41,"Beaudesert Hospital","Jun-22","2",467,25.87601078,6,80.22,11.56,25.93,64.24
"2579",61,41,"Beaudesert Hospital","Jun-22","3",1258,19.58174905,8,94.58,5.8,24.66,81.48
"2580",62,41,"Beaudesert Hospital","Jun-22","4",1886,7.833047456,7,97.75,1.91,19.44,91.46
"2581",63,41,"Beaudesert Hospital","Jun-22","5",370,-21.108742,4,100,0.81,66.67,97.84
"2582",64,41,"Beaudesert Hospital","Jun-22","ALL",3988,9.440175631,7,94.84,4.16,24.7,85.68
"2583",65,42,"Boonah Hospital","Jun-22","1",9,200,0,100,11.11,0,77.78
"2584",66,42,"Boonah Hospital","Jun-22","2",132,57.14285714,0,94.7,15.15,65,81.06
"2585",67,42,"Boonah Hospital","Jun-22","3",246,-6.818181818,0,97.97,9.35,73.91,91.46
"2586",68,42,"Boonah Hospital","Jun-22","4",369,-7.286432161,0,98.89,3.25,75,94.04
"2587",69,42,"Boonah Hospital","Jun-22","5",106,19.1011236,0,98.8,4.72,80,94.34
"2588",70,42,"Boonah Hospital","Jun-22","ALL",862,2.863961814,0,97.95,7.08,70.49,91.18
"2589",71,43,"Caloundra Hospital","Jun-22","1",1,0,0,100,0,NA,100
"2590",72,43,"Caloundra Hospital","Jun-22","2",94,44.61538462,5,87.23,0,NA,100
"2591",73,43,"Caloundra Hospital","Jun-22","3",383,63.67521368,19,78.74,0,NA,99.22
"2592",74,43,"Caloundra Hospital","Jun-22","4",2958,37.26218097,34,70.3,0,NA,99.15
"2593",75,43,"Caloundra Hospital","Jun-22","5",1341,-24.87394958,27,95.67,0.07,100,99.48
"2594",76,43,"Caloundra Hospital","Jun-22","ALL",4777,12.69167256,28,77.82,0.02,100,99.27
"2595",77,44,"Esk Hospital","Jun-22","1",6,100,0,100,0,NA,66.67
"2596",78,44,"Esk Hospital","Jun-22","2",122,10.90909091,0,92.56,25.41,93.55,72.13
"2597",79,44,"Esk Hospital","Jun-22","3",188,-3.092783505,0,98.94,11.17,80.95,77.66
"2598",80,44,"Esk Hospital","Jun-22","4",330,1.226993865,0,98.76,6.67,86.36,93.64
"2599",81,44,"Esk Hospital","Jun-22","5",115,-26.75159236,1,100,0.87,100,96.52
"2600",82,44,"Esk Hospital","Jun-22","ALL",761,-3.670886076,0,97.95,9.86,88,86.47
"2601",83,45,"Gatton Hospital","Jun-22","1",11,-31.25,0,100,18.18,50,54.55
"2602",84,45,"Gatton Hospital","Jun-22","2",249,19.71153846,2,86.64,13.65,76.47,78.71
"2603",85,45,"Gatton Hospital","Jun-22","3",722,14.78537361,5,88.79,8.17,69.49,84.49
"2604",86,45,"Gatton Hospital","Jun-22","4",881,0.570776256,5,92.18,2.61,52.17,93.3
"2605",87,45,"Gatton Hospital","Jun-22","5",406,37.16216216,11,97.73,2.22,100,97.04
"2606",88,45,"Gatton Hospital","Jun-22","ALL",2269,12.04938272,5,91.26,5.6,70.08,89.38
"2607",89,46,"Kilcoy Hospital","Jun-22","1",2,-33.33333333,0,100,0,NA,100
"2608",90,46,"Kilcoy Hospital","Jun-22","2",64,113.3333333,0,82.81,18.75,58.33,51.56
"2609",91,46,"Kilcoy Hospital","Jun-22","3",198,43.47826087,0,88.27,13.13,53.85,71.21
"2610",92,46,"Kilcoy Hospital","Jun-22","4",297,-11.8694362,0,93.57,5.05,60,88.55
"2611",93,46,"Kilcoy Hospital","Jun-22","5",204,13.33333333,5,97.95,1.47,100,95.59
"2612",94,46,"Kilcoy Hospital","Jun-22","ALL",765,11.19186047,0,92.01,7.32,58.93,82.88
"2613",95,47,"Laidley Hospital","Jun-22","1",12,-7.692307692,0,100,16.67,0,66.67
"2614",96,47,"Laidley Hospital","Jun-22","2",370,25.85034014,0,91.46,12.43,63.04,75.95
"2615",97,47,"Laidley Hospital","Jun-22","3",538,-8.658743633,0,94.11,8.18,52.27,81.41
"2616",98,47,"Laidley Hospital","Jun-22","4",568,-14.71471471,0,95.39,4.75,40.74,86.27
"2617",99,47,"Laidley Hospital","Jun-22","5",235,-29.21686747,0,98.38,6.81,75,92.77
"2618",100,47,"Laidley Hospital","Jun-22","ALL",1723,-9.028511088,0,94.46,7.84,55.56,83.28
"2619",101,48,"Maleny Hospital","Jun-22","1",12,500,0,100,8.33,100,100
"2620",102,48,"Maleny Hospital","Jun-22","2",113,25.55555556,0,91.15,19.47,100,86.73
"2621",103,48,"Maleny Hospital","Jun-22","3",302,10.62271062,6,84.62,12.25,86.49,90.4
"2622",104,48,"Maleny Hospital","Jun-22","4",393,-11.88340807,15,93.02,4.58,77.78,95.42
"2623",105,48,"Maleny Hospital","Jun-22","5",390,14.03508772,13,98.03,0.77,100,98.46
"2624",106,48,"Maleny Hospital","Jun-22","ALL",1210,4.943625325,10,92.02,6.69,88.89,94.38
"2625",107,49,"Nambour Hospital","Jun-22","1",42,-12.5,0,100,33.33,64.29,47.62
"2626",108,49,"Nambour Hospital","Jun-22","2",2147,11.01344364,7,75.23,33.07,52.39,55.15
"2627",109,49,"Nambour Hospital","Jun-22","3",6082,7.379943503,13,78.94,26.34,39.76,56.46
"2628",110,49,"Nambour Hospital","Jun-22","4",5785,1.866525797,21,79.15,7.69,44.72,79.67
"2629",111,49,"Nambour Hospital","Jun-22","5",751,2.876712329,19,93.59,0.53,0,92.94
"2630",112,49,"Nambour Hospital","Jun-22","ALL",14807,5.350409107,14,79.23,18.74,43.86,67.16
"2631",113,61,"Biggenden Hospital","Jun-22","1",0,0,NA,NA,NA,NA,NA
"2632",114,61,"Biggenden Hospital","Jun-22","2",31,181.8181818,0,93.33,41.94,100,100
"2633",115,61,"Biggenden Hospital","Jun-22","3",49,0,0,97.96,24.49,100,100
"2634",116,61,"Biggenden Hospital","Jun-22","4",104,-20.61068702,0,100,12.5,100,100
"2635",117,61,"Biggenden Hospital","Jun-22","5",77,-35.29411765,0,100,1.3,100,100
"2636",118,61,"Biggenden Hospital","Jun-22","ALL",261,-16.07717042,0,98.84,14.94,100,100
"2637",119,62,"Bundaberg Hospital","Jun-22","1",17,-57.5,0,100,70.59,16.67,23.53
"2638",120,62,"Bundaberg Hospital","Jun-22","2",1660,0.789313904,22,28.19,46.14,15.93,22.41
"2639",121,62,"Bundaberg Hospital","Jun-22","3",5644,9.720062208,49,34.03,24.7,7.25,34.64
"2640",122,62,"Bundaberg Hospital","Jun-22","4",4119,-13.13791649,77,41.09,7.7,8.2,61.64
"2641",123,62,"Bundaberg Hospital","Jun-22","5",393,-43.45323741,54,76.33,5.85,17.39,78.37
"2642",124,62,"Bundaberg Hospital","Jun-22","ALL",11833,-3.545810238,50,36.72,21.23,10.15,43.76
"2643",125,63,"Cherbourg Hospital","Jun-22","1",5,150,0,80,40,50,60
"2644",126,63,"Cherbourg Hospital","Jun-22","2",50,-24.24242424,2.5,83.33,46,91.3,90
"2645",127,63,"Cherbourg Hospital","Jun-22","3",251,-9.057971014,5,89.08,27.49,84.06,90.04
"2646",128,63,"Cherbourg Hospital","Jun-22","4",587,13.75968992,10,91.2,7.84,82.61,93.87
"2647",129,63,"Cherbourg Hospital","Jun-22","5",496,21.27139364,7,99,2.02,90,97.98
"2648",130,63,"Cherbourg Hospital","Jun-22","ALL",1389,9.456264775,8,92.99,10.8,84.67,94.38
"2649",131,64,"Childers Hospital","Jun-22","1",1,0,0,100,100,100,100
"2650",132,64,"Childers Hospital","Jun-22","2",32,39.13043478,0,100,65.63,100,100
"2651",133,64,"Childers Hospital","Jun-22","3",168,-4,0,100,41.67,98.57,99.4
"2652",134,64,"Childers Hospital","Jun-22","4",334,-17.12158809,0,98.48,14.37,97.92,99.4
"2653",135,64,"Childers Hospital","Jun-22","5",202,18.12865497,0,100,1.49,100,99.5
"2654",136,64,"Childers Hospital","Jun-22","ALL",737,-4.533678756,0,99.26,19.4,98.6,99.46
"2655",137,65,"Eidsvold Hospital","Jun-22","1",1,0,0,100,100,100,100
"2656",138,65,"Eidsvold Hospital","Jun-22","2",5,-54.54545455,0,100,60,100,100
"2657",139,65,"Eidsvold Hospital","Jun-22","3",18,-48.57142857,0,100,61.11,100,100
"2658",140,65,"Eidsvold Hospital","Jun-22","4",48,23.07692308,0,100,12.5,100,100
"2659",141,65,"Eidsvold Hospital","Jun-22","5",24,-27.27272727,0,100,8.33,100,100
"2660",142,65,"Eidsvold Hospital","Jun-22","ALL",96,-18.6440678,0,100,23.96,100,100
"2661",143,66,"Gayndah Hospital","Jun-22","1",6,500,0,100,83.33,100,100
"2662",144,66,"Gayndah Hospital","Jun-22","2",34,41.66666667,0,100,55.88,100,94.12
"2663",145,66,"Gayndah Hospital","Jun-22","3",95,-30.14705882,0,97.83,37.89,100,97.89
"2664",146,66,"Gayndah Hospital","Jun-22","4",147,1.379310345,0,100,14.97,100,97.28
"2665",147,66,"Gayndah Hospital","Jun-22","5",124,-0.8,0,100,2.42,66.67,96.77
"2666",148,66,"Gayndah Hospital","Jun-22","ALL",406,-5.800464037,0,99.5,20.94,98.82,97.04
"2667",149,67,"Gin Gin Hospital","Jun-22","1",0,0,NA,NA,NA,NA,NA
"2668",150,67,"Gin Gin Hospital","Jun-22","2",19,-20.83333333,0,100,52.63,100,100
"2669",151,67,"Gin Gin Hospital","Jun-22","3",110,-15.38461538,2.5,98.18,27.27,100,99.09
"2670",152,67,"Gin Gin Hospital","Jun-22","4",330,0.609756098,5,94.79,12.12,100,99.7
"2671",153,67,"Gin Gin Hospital","Jun-22","5",291,-18.48739496,10,98.17,4.12,83.33,98.63
"2672",154,67,"Gin Gin Hospital","Jun-22","ALL",750,-10.60786651,5,96.7,12.27,97.83,99.2
"2673",155,68,"Gympie Hospital","Jun-22","1",34,41.66666667,0,100,47.06,37.5,35.29
"2674",156,68,"Gympie Hospital","Jun-22","2",1072,1.419110691,8,71.05,44.5,48.64,57.37
"2675",157,68,"Gympie Hospital","Jun-22","3",3394,9.731652118,29,51.27,22.27,35.71,64.32
"2676",158,68,"Gympie Hospital","Jun-22","4",3350,-1.092412164,34,68.45,5.64,40.74,85.76
"2677",159,68,"Gympie Hospital","Jun-22","5",441,24.92917847,19,94.2,1.13,100,96.83
"2678",160,68,"Gympie Hospital","Jun-22","ALL",8291,4.763709881,25,62.84,17.4,40.89,73.69
"2679",161,69,"Hervey Bay Hospital","Jun-22","1",42,-14.28571429,0,100,64.29,40.74,33.33
"2680",162,69,"Hervey Bay Hospital","Jun-22","2",1425,-2.730375427,5,80.73,47.51,27.62,35.02
"2681",163,69,"Hervey Bay Hospital","Jun-22","3",4301,-0.944265316,37,44.71,34.11,19.09,39.57
"2682",164,69,"Hervey Bay Hospital","Jun-22","4",4467,-9.281072299,63,48.87,16.01,18.88,54.96
"2683",165,69,"Hervey Bay Hospital","Jun-22","5",499,-32.47631935,62,70.45,3.81,15.79,71.14
"2684",166,69,"Hervey Bay Hospital","Jun-22","ALL",10734,-6.814827676,35,52.86,27.06,21.2,46.81
"2685",167,70,"Kingaroy Hospital","Jun-22","1",51,70,0,100,64.71,33.33,35.29
"2686",168,70,"Kingaroy Hospital","Jun-22","2",544,6.666666667,12,47.04,36.58,40.7,47.79
"2687",169,70,"Kingaroy Hospital","Jun-22","3",1667,11.20747165,35,46.37,23.82,37.78,62.75
"2688",170,70,"Kingaroy Hospital","Jun-22","4",2038,19.11163063,61,49.89,7.46,48.68,76.84
"2689",171,70,"Kingaroy Hospital","Jun-22","5",954,-7.378640777,48.5,79.1,3.46,75.76,87.95
"2690",172,70,"Kingaroy Hospital","Jun-22","ALL",5254,9.916317992,39,53.14,15.49,41.89,70.97
"2691",173,71,"Maryborough Hospital","Jun-22","1",29,-19.44444444,0,100,0,NA,65.52
"2692",174,71,"Maryborough Hospital","Jun-22","2",881,-2.219755827,7,69.59,3.06,0,39.16
"2693",175,71,"Maryborough Hospital","Jun-22","3",2151,2.526215443,43,38.66,6.04,6.15,52.25
"2694",176,71,"Maryborough Hospital","Jun-22","4",2637,-6.621813031,84,40.42,2.54,8.96,68.75
"2695",177,71,"Maryborough Hospital","Jun-22","5",291,-20.05494505,46,78.33,2.06,50,84.88
"2696",178,71,"Maryborough Hospital","Jun-22","ALL",5989,-3.760244255,43,46.26,3.84,7.39,59.24
"2697",179,72,"Monto Hospital","Jun-22","1",1,0,0,100,0,NA,100
"2698",180,72,"Monto Hospital","Jun-22","2",14,-57.57575758,0,100,64.29,100,100
"2699",181,72,"Monto Hospital","Jun-22","3",83,31.74603175,0,98.78,59.04,100,100
"2700",182,72,"Monto Hospital","Jun-22","4",117,-27.32919255,0,98.25,23.08,100,100
"2701",183,72,"Monto Hospital","Jun-22","5",52,-42.22222222,0,100,13.46,100,100
"2702",184,72,"Monto Hospital","Jun-22","ALL",267,-23.05475504,0,98.83,34.46,100,100
"2703",185,74,"Mundubbera Hospital","Jun-22","1",1,0,0,100,100,100,100
"2704",186,74,"Mundubbera Hospital","Jun-22","2",7,-22.22222222,0,100,42.86,100,100
"2705",187,74,"Mundubbera Hospital","Jun-22","3",55,19.56521739,0,100,45.45,100,100
"2706",188,74,"Mundubbera Hospital","Jun-22","4",98,-21.6,0,100,9.18,100,100
"2707",189,74,"Mundubbera Hospital","Jun-22","5",24,-25,0,100,4.17,100,100
"2708",190,74,"Mundubbera Hospital","Jun-22","ALL",185,-12.73584906,0,100,21.08,100,100
"2709",191,75,"Murgon Hospital","Jun-22","1",3,0,0,100,0,NA,66.67
"2710",192,75,"Murgon Hospital","Jun-22","2",56,9.803921569,0,89.09,46.43,92.31,89.29
"2711",193,75,"Murgon Hospital","Jun-22","3",275,24.43438914,5,87.13,32,96.59,91.27
"2712",194,75,"Murgon Hospital","Jun-22","4",551,32.77108434,10,92.61,7.99,90.91,96.19
"2713",195,75,"Murgon Hospital","Jun-22","5",201,-52.81690141,4.5,99.21,2.99,100,99.5
"2714",196,75,"Murgon Hospital","Jun-22","ALL",1086,-2.688172043,5,91.75,15.1,94.51,95.12
"2715",197,76,"Nanango Hospital","Jun-22","1",0,0,NA,NA,NA,NA,NA
"2716",198,76,"Nanango Hospital","Jun-22","2",58,31.81818182,0,96.55,25.86,93.33,86.21
"2717",199,76,"Nanango Hospital","Jun-22","3",62,-37.37373737,2,89.83,12.9,62.5,83.87
"2718",200,76,"Nanango Hospital","Jun-22","4",347,2.359882006,7,92.57,6.92,87.5,92.22
"2719",201,76,"Nanango Hospital","Jun-22","5",420,-37.59286776,5,99.02,3.1,92.31,96.9
"2720",202,76,"Nanango Hospital","Jun-22","ALL",887,-23.26989619,5,95.31,6.76,86.67,93.46
"2721",203,91,"Chinchilla Hospital","Jun-22","1",2,0,0,100,50,100,100
"2722",204,91,"Chinchilla Hospital","Jun-22","2",67,-36.19047619,0,96.92,47.76,96.88,95.52
"2723",205,91,"Chinchilla Hospital","Jun-22","3",363,10.67073171,1,95.82,36.91,94.78,95.04
"2724",206,91,"Chinchilla Hospital","Jun-22","4",750,-4.458598726,1,97.76,9.33,91.43,97.6
"2725",207,91,"Chinchilla Hospital","Jun-22","5",723,-25.07772021,2,98.84,1.94,85.71,99.03
"2726",208,91,"Chinchilla Hospital","Jun-22","ALL",1905,-12.81464531,1,97.51,13.18,93.63,97.59
"2727",209,92,"Dalby Hospital","Jun-22","1",12,-7.692307692,0,100,50,100,100
"2728",210,92,"Dalby Hospital","Jun-22","2",306,2,8,57.7,44.44,82.35,79.74
"2729",211,92,"Dalby Hospital","Jun-22","3",1134,12.38850347,28,53.56,26.98,82.35,87.65
"2730",212,92,"Dalby Hospital","Jun-22","4",1526,6.045865184,48,58.74,8.19,79.2,90.3
"2731",213,92,"Dalby Hospital","Jun-22","5",655,19.7440585,24,88.56,2.29,73.33,94.81
"2732",214,92,"Dalby Hospital","Jun-22","ALL",3633,9.824667473,30,61.86,16.18,81.63,89.43
"2733",215,93,"Goondiwindi Hospital","Jun-22","1",7,133.3333333,0,85.71,28.57,50,42.86
"2734",216,93,"Goondiwindi Hospital","Jun-22","2",123,20.58823529,0,94.31,58.54,70.83,70.73
"2735",217,93,"Goondiwindi Hospital","Jun-22","3",473,17.95511222,0,96.61,34.04,65.22,78.44
"2736",218,93,"Goondiwindi Hospital","Jun-22","4",868,4.704463209,0,97.1,9.56,59.04,88.82
"2737",219,93,"Goondiwindi Hospital","Jun-22","5",609,-27.32696897,0,99.6,3.94,70.83,94.91
"2738",220,93,"Goondiwindi Hospital","Jun-22","ALL",2080,-4.279797515,0,97.41,16.44,65.2,87.02
"2739",221,95,"Jandowae Hospital","Jun-22","1",1,-50,0,100,100,100,100
"2740",222,95,"Jandowae Hospital","Jun-22","2",14,-39.13043478,0,100,42.86,83.33,85.71
"2741",223,95,"Jandowae Hospital","Jun-22","3",68,41.66666667,0,100,27.94,100,98.53
"2742",224,95,"Jandowae Hospital","Jun-22","4",114,52,0,100,7.89,88.89,99.12
"2743",225,95,"Jandowae Hospital","Jun-22","5",96,-36,0,100,5.21,100,98.96
"2744",226,95,"Jandowae Hospital","Jun-22","ALL",293,-1.677852349,0,100,13.65,95,98.29
"2745",227,97,"Miles Hospital","Jun-22","1",1,-50,0,100,100,100,100
"2746",228,97,"Miles Hospital","Jun-22","2",31,-13.88888889,0,93.55,58.06,94.44,96.77
"2747",229,97,"Miles Hospital","Jun-22","3",150,1.351351351,0,97.26,42.67,96.88,94.67
"2748",230,97,"Miles Hospital","Jun-22","4",226,20.85561497,3,99.08,14.6,90.91,97.35
"2749",231,97,"Miles Hospital","Jun-22","5",394,-48.63102999,5,100,4.82,94.74,99.24
"2750",232,97,"Miles Hospital","Jun-22","ALL",802,-29.64912281,2.5,98.71,16.83,94.81,97.76
"2751",233,98,"Millmerran Hospital","Jun-22","1",1,-66.66666667,0,100,100,100,100
"2752",234,98,"Millmerran Hospital","Jun-22","2",24,20,0,95.83,20.83,100,79.17
"2753",235,98,"Millmerran Hospital","Jun-22","3",136,-3.546099291,0,93.38,27.21,97.3,97.79
"2754",236,98,"Millmerran Hospital","Jun-22","4",188,-33.33333333,3,98.39,5.32,80,94.68
"2755",237,98,"Millmerran Hospital","Jun-22","5",234,2.631578947,3.5,100,5.13,100,98.29
"2756",238,98,"Millmerran Hospital","Jun-22","ALL",583,-13.50148368,1,97.42,11.15,95.38,96.23
"2757",239,99,"Oakey Hospital","Jun-22","1",1,0,0,100,0,NA,0
"2758",240,99,"Oakey Hospital","Jun-22","2",36,24.13793103,0,94.44,30.56,81.82,91.67
"2759",241,99,"Oakey Hospital","Jun-22","3",153,-15.93406593,0,92.76,18.95,89.66,86.27
"2760",242,99,"Oakey Hospital","Jun-22","4",282,21.03004292,0,98.51,8.16,95.65,96.45
"2761",243,99,"Oakey Hospital","Jun-22","5",152,31.03448276,5,100,3.95,100,98.03
"2762",244,99,"Oakey Hospital","Jun-22","ALL",624,11.22994652,0,96.85,11.06,91.3,93.91
"2763",245,100,"Stanthorpe Hospital","Jun-22","1",1,-66.66666667,0,100,100,0,0
"2764",246,100,"Stanthorpe Hospital","Jun-22","2",253,48.82352941,2,84.13,46.64,77.12,80.24
"2765",247,100,"Stanthorpe Hospital","Jun-22","3",546,7.480314961,5,87.9,30.95,70.41,83.88
"2766",248,100,"Stanthorpe Hospital","Jun-22","4",677,-0.587371512,5,92.01,8.86,75,92.47
"2767",249,100,"Stanthorpe Hospital","Jun-22","5",582,-32.40418118,2,99.31,2.41,92.86,97.77
"2768",250,100,"Stanthorpe Hospital","Jun-22","ALL",2059,-7.377417904,4,91.47,17.58,74.03,90.14
"2769",251,101,"Tara Hospital","Jun-22","1",6,0,0,83.33,33.33,100,83.33
"2770",252,101,"Tara Hospital","Jun-22","2",47,-16.07142857,0,95.65,46.81,100,87.23
"2771",253,101,"Tara Hospital","Jun-22","3",165,5.095541401,0,94.51,29.09,93.75,94.55
"2772",254,101,"Tara Hospital","Jun-22","4",273,92.25352113,0,98.46,9.16,96,97.44
"2773",255,101,"Tara Hospital","Jun-22","5",556,34.62469734,0,99.68,2.52,85.71,97.66
"2774",256,101,"Tara Hospital","Jun-22","ALL",1047,36.328125,0,97.83,10.6,94.59,96.56
"2775",257,102,"Taroom Hospital","Jun-22","1",2,-33.33333333,0,100,50,100,100
"2776",258,102,"Taroom Hospital","Jun-22","2",23,76.92307692,0,100,65.22,93.33,95.65
"2777",259,102,"Taroom Hospital","Jun-22","3",41,-2.380952381,0,100,41.46,100,97.56
"2778",260,102,"Taroom Hospital","Jun-22","4",78,39.28571429,0,100,26.92,95.24,98.72
"2779",261,102,"Taroom Hospital","Jun-22","5",418,58.33333333,0,100,0.96,100,98.8
"2780",262,102,"Taroom Hospital","Jun-22","ALL",562,48.67724868,0,100,10.32,96.55,98.58
"2781",263,103,"Texas Hospital","Jun-22","1",0,0,NA,NA,NA,NA,NA
"2782",264,103,"Texas Hospital","Jun-22","2",17,0,0,100,58.82,70,70.59
"2783",265,103,"Texas Hospital","Jun-22","3",54,31.70731707,0,100,31.48,76.47,85.19
"2784",266,103,"Texas Hospital","Jun-22","4",72,-5.263157895,0,95.71,5.56,100,90.28
"2785",267,103,"Texas Hospital","Jun-22","5",275,15.06276151,0,100,0.73,100,98.18
"2786",268,103,"Texas Hospital","Jun-22","ALL",418,12.06434316,0,98.98,7.89,78.79,94.02
"2787",269,104,"Toowoomba Hospital","Jun-22","1",137,23.42342342,0,100,75.91,21.15,23.36
"2788",270,104,"Toowoomba Hospital","Jun-22","2",2913,4.035714286,7,70.29,66.77,49,53.52
"2789",271,104,"Toowoomba Hospital","Jun-22","3",9574,12.66180278,29,51.57,43.61,54.44,58.23
"2790",272,104,"Toowoomba Hospital","Jun-22","4",3221,-13.66925757,32,70.45,12.79,58.98,76.09
"2791",273,104,"Toowoomba Hospital","Jun-22","5",303,-16.52892562,27.5,88.21,6.93,57.14,83.83
"2792",274,104,"Toowoomba Hospital","Jun-22","ALL",16148,4.160485067,23,59.73,41.22,52.62,61.13
"2793",275,105,"Warwick Hospital","Jun-22","1",29,38.0952381,0,100,58.62,35.29,51.72
"2794",276,105,"Warwick Hospital","Jun-22","2",525,3.346456693,8,62.38,51.05,60.82,63.05
"2795",277,105,"Warwick Hospital","Jun-22","3",1648,7.853403141,23,61.57,28.22,47.1,72.51
"2796",278,105,"Warwick Hospital","Jun-22","4",1994,-0.647732935,34,70.08,7.57,52.32,88.26
"2797",279,105,"Warwick Hospital","Jun-22","5",841,-32.72,21,95.23,2.73,82.61,97.15
"2798",280,105,"Warwick Hospital","Jun-22","ALL",5037,-5.212645841,23,70.31,18.34,52.6,81.76
"2799",281,106,"Wandoan Hospital","Jun-22","1",0,0,NA,NA,NA,NA,NA
"2800",282,106,"Wandoan Hospital","Jun-22","2",0,0,NA,NA,NA,NA,NA
"2801",283,106,"Wandoan Hospital","Jun-22","3",2,100,0.5,100,0,NA,50
"2802",284,106,"Wandoan Hospital","Jun-22","4",24,500,0,100,0,NA,95.83
"2803",285,106,"Wandoan Hospital","Jun-22","5",209,6.091370558,1,100,0,NA,99.04
"2804",286,106,"Wandoan Hospital","Jun-22","ALL",235,15.19607843,0,100,0,NA,98.3
"2805",287,112,"Charleville Hospital","Jun-22","1",4,100,0,100,100,100,100
"2806",288,112,"Charleville Hospital","Jun-22","2",81,6.578947368,0,100,51.85,90.48,87.65
"2807",289,112,"Charleville Hospital","Jun-22","3",379,17.70186335,0,98.67,28.76,76.15,87.86
"2808",290,112,"Charleville Hospital","Jun-22","4",585,16.30218688,0,98.55,8.21,79.17,93.5
"2809",291,112,"Charleville Hospital","Jun-22","5",394,-4.830917874,0,100,1.52,100,97.72
"2810",292,112,"Charleville Hospital","Jun-22","ALL",1443,9.567198178,0,99,14.48,80.86,92.86
"2811",293,113,"Cunnamulla Hospital","Jun-22","1",3,200,0,100,100,100,100
"2812",294,113,"Cunnamulla Hospital","Jun-22","2",23,187.5,0,91.3,52.17,91.67,82.61
"2813",295,113,"Cunnamulla Hospital","Jun-22","3",99,76.78571429,0,98.98,27.27,88.89,86.87
"2814",296,113,"Cunnamulla Hospital","Jun-22","4",152,16.03053435,2,99.32,9.87,86.67,96.71
"2815",297,113,"Cunnamulla Hospital","Jun-22","5",409,111.9170984,0,100,0.49,100,99.76
"2816",298,113,"Cunnamulla Hospital","Jun-22","ALL",686,76.3496144,0,99.02,8.6,89.83,96.65
"2817",299,114,"Dirranbandi Hospital","Jun-22","1",0,0,NA,NA,NA,NA,NA
"2818",300,114,"Dirranbandi Hospital","Jun-22","2",11,37.5,0,100,45.45,100,81.82
"2819",301,114,"Dirranbandi Hospital","Jun-22","3",56,-6.666666667,0,100,25,92.86,89.29
"2820",302,114,"Dirranbandi Hospital","Jun-22","4",108,24.13793103,0,100,6.48,100,95.37
"2821",303,114,"Dirranbandi Hospital","Jun-22","5",139,-2.797202797,0,100,0.72,100,99.28
"2822",304,114,"Dirranbandi Hospital","Jun-22","ALL",314,5.369127517,0,100,8.6,96.3,95.54
"2823",305,116,"Mitchell Hospital","Jun-22","1",4,100,0,100,100,100,100
