"","age","cups","where_drink","purchase_other","favourite","favorite_specify","additions","additions_other","sweetener","style","strength","roast_level","caffeine","expertise","coffee_a_bitterness","coffee_a_acidity","coffee_a_personal_preference","coffee_b_bitterness","coffee_b_acidity","coffee_b_personal_preference","coffee_c_bitterness","coffee_c_acidity","coffee_c_personal_preference","coffee_d_bitterness","coffee_d_acidity","coffee_d_personal_preference","prefer_abc","prefer_ad","prefer_overall","wfh","total_spend","know_source","most_paid","most_willing","value_cafe","spent_equipment","value_equipment","gender","education_level","employment_status","number_children","political_affiliation"
"292","25-34 years old","2","At home",NA,"Pourover",NA,"No - just black",NA,NA,"Juicy","Somewhat strong","Nordic","Full caffeine",8,2,5,5,3,2,3,4,1,2,1,4,5,"Coffee A","Coffee A","Coffee A","I do a mix of both","$20-$40","Yes","$6-$8","More than $20","No","More than $1,000","Yes","Male","Master's degree","Employed full-time","None","Democrat"
"293","25-34 years old","2","On the go, At home",NA,"Latte",NA,"No - just black, Milk, dairy alternative, or coffee creamer",NA,NA,"Fruity","Medium","Medium","Full caffeine",2,1,2,4,2,3,2,3,3,2,5,5,2,"Coffee A","Coffee A","Coffee B","I primarily work from home",">$100","Yes","$8-$10","More than $20","Yes","More than $1,000","Yes","Male","Bachelor's degree","Employed full-time","None","No affiliation"
"294","45-54 years old","3","At home",NA,"Cappuccino",NA,"No - just black",NA,NA,"Fruity","Somewhat strong","Light","Full caffeine",7,4,4,4,3,2,3,3,4,2,2,5,5,"Coffee A","Coffee D","Coffee D","I primarily work from home","$80-$100","Yes","$6-$8","$10-$15","Yes","More than $1,000","Yes","Male","High school graduate","Employed full-time","2","Democrat"
"295","25-34 years old","1","At home, At the office, At a cafe",NA,"Cortado",NA,"No - just black",NA,NA,"Full Bodied","Somewhat strong","Light","Full caffeine",7,1,5,4,3,3,3,4,2,2,2,4,5,"Coffee A","Coffee D","Coffee D","I do a mix of both","$40-$60","Yes","$8-$10","More than $20","Yes","More than $1,000","Yes","Male","Bachelor's degree","Employed full-time","None","Democrat"
"296","35-44 years old","2","At home, On the go, At a cafe",NA,"Latte",NA,"Milk, dairy alternative, or coffee creamer",NA,NA,"Bright","Somewhat strong","Dark","Full caffeine",8,2,4,4,3,3,3,3,4,2,1,3,1,"Coffee A","Coffee A","Coffee A","I primarily work from home","$80-$100","Yes","$10-$15","$6-$8","Yes","$20-$50","Yes","Male","High school graduate","Unemployed","None","Democrat"
"297","25-34 years old","3","At home",NA,"Espresso",NA,"No - just black, Milk, dairy alternative, or coffee creamer",NA,NA,"Juicy","Somewhat strong","Light","Full caffeine",8,1,4,5,5,2,2,5,1,1,1,3,4,"Coffee A","Coffee A","Coffee A","I primarily work in person","$60-$80","Yes","$10-$15","More than $20","Yes","$500-$1000","Yes","Male","Bachelor's degree","Employed full-time","None","No affiliation"
"298","25-34 years old","2","At home, At a cafe",NA,"Regular drip coffee",NA,"Milk, dairy alternative, or coffee creamer",NA,NA,"Chocolatey","Medium","Light","Full caffeine",6,2,4,2,5,2,3,3,3,5,2,5,3,"Coffee C","Coffee D","Coffee C","I primarily work from home","$40-$60","Yes","$15-$20","$15-$20","No","Less than $20","Yes","Female","Bachelor's degree","Homemaker","1","No affiliation"
"299","25-34 years old","2","At home",NA,"Regular drip coffee",NA,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",NA,"Raw Sugar (Turbinado)","Bright","Medium","Light","Full caffeine",2,1,4,3,3,3,2,3,2,3,2,4,4,"Coffee C","Coffee D","Coffee B","I primarily work from home","$40-$60","No","$6-$8","$10-$15","Yes","$100-$300","Yes","Male","Bachelor's degree","Employed full-time","None","No affiliation"
"300","35-44 years old","1","At home",NA,"Iced coffee",NA,"Milk, dairy alternative, or coffee creamer",NA,NA,"Bold","Somewhat strong","Dark","Full caffeine",4,2,4,3,4,3,5,2,5,4,2,5,2,"Coffee B","Coffee A","Coffee B","I primarily work from home",">$100","No","$8-$10","$8-$10","Yes","$100-$300","No","Male",NA,NA,NA,NA
"301","25-34 years old","3","At home, On the go, At the office","Online ordering","Regular drip coffee",NA,"No - just black",NA,NA,"Sweet","Medium","Medium","Full caffeine",6,2,4,5,3,2,4,4,2,3,2,5,5,"Coffee A","Coffee D","Coffee C","I do a mix of both","$40-$60","Yes","$8-$10","$8-$10","No","$100-$300","Yes","Female","Doctorate or professional degree","Employed full-time","None","Democrat"
"302","25-34 years old","2","At home",NA,"Cappuccino",NA,"No - just black",NA,NA,"Floral","Very strong","Light","Full caffeine",7,3,3,1,5,2,2,3,3,3,2,3,5,"Coffee C","Coffee D","Coffee D","I primarily work from home","$20-$40","Yes","$6-$8","$6-$8","No","$300-$500","Yes","Male","Some college or associate's degree","Unemployed","2","Republican"
"303","25-34 years old","More than 4","At home",NA,"Pourover",NA,"No - just black",NA,NA,"Fruity","Medium","Nordic","Full caffeine",7,1,4,3,3,1,1,3,1,3,1,4,4,"Coffee A","Coffee D","Coffee D","I primarily work from home",">$100","Yes","More than $20","More than $20","No","More than $1,000","Yes","Male","Some college or associate's degree","Employed full-time","None","Democrat"
"304","25-34 years old","1","At home",NA,"Latte",NA,"Milk, dairy alternative, or coffee creamer",NA,NA,"Sweet","Medium","Medium","Full caffeine",4,2,3,4,4,4,2,4,2,3,2,5,5,"Coffee A","Coffee D","Coffee D","I primarily work from home","$20-$40","No","$8-$10","$8-$10","Yes","$500-$1000","Yes","Female","Master's degree","Employed part-time","None","Democrat"
"305","55-64 years old","2","At home, At the office",NA,"Pourover",NA,"No - just black",NA,NA,"Fruity","Somewhat strong","Light","Full caffeine",5,2,5,5,4,2,3,5,2,2,2,5,5,"Coffee A","Coffee D","Coffee D","I primarily work in person","$40-$60","Yes","$4-$6","$4-$6","No","More than $1,000","Yes","Female","Bachelor's degree","Employed full-time","2","Democrat"
"306","35-44 years old","2","At home, At a cafe",NA,"Pourover",NA,"No - just black",NA,NA,"Juicy","Somewhat strong","Light","Full caffeine",7,4,2,2,3,2,3,1,1,5,1,4,3,"Coffee C","Coffee D","Coffee C","I primarily work from home","$40-$60","Yes","$10-$15","$15-$20","Yes","$100-$300","Yes","Prefer not to say","Bachelor's degree","Employed full-time","None","No affiliation"
"307","55-64 years old","1","At home",NA,"Mocha",NA,"No - just black",NA,NA,"Full Bodied","Somewhat strong","Dark","Full caffeine",4,4,4,2,1,1,2,2,2,5,1,3,1,"Coffee C","Coffee A","Coffee C",NA,NA,"Yes","$2-$4","$2-$4","No","Less than $20","Yes","Female","Doctorate or professional degree","Retired",NA,NA
"308","45-54 years old","1","At home",NA,"Pourover",NA,"No - just black",NA,NA,"Sweet","Medium","Medium","Full caffeine",5,2,3,5,2,2,4,3,2,3,2,4,2,"Coffee A","Coffee A","Coffee A","I primarily work from home","$40-$60","Yes","$10-$15","$10-$15","Yes","$500-$1000","Yes","Female","Bachelor's degree","Retired","2","Democrat"
"309","25-34 years old","2","At home, At the office",NA,"Pourover",NA,"No - just black",NA,NA,"Fruity","Somewhat strong","Light","Full caffeine",6,1,3,3,1,1,5,2,2,4,2,4,5,"Coffee B","Coffee D","Coffee D","I do a mix of both","$20-$40","Yes","$4-$6","$2-$4","Yes","$50-$100","Yes","Male","Master's degree","Employed full-time","None","Democrat"
"310","25-34 years old","1","At home",NA,"Latte",NA,"Milk, dairy alternative, or coffee creamer",NA,NA,"Nutty","Somewhat strong","Dark","Full caffeine",6,2,5,2,3,3,4,3,2,5,1,4,3,"Coffee C","Coffee D","Coffee C","I primarily work from home","$40-$60","Yes","$8-$10","$10-$15","No","$300-$500","Yes","Male","Master's degree","Employed full-time","None","Independent"
"311","25-34 years old","1","At the office, At home, On the go",NA,"Latte",NA,"Flavor syrup, Milk, dairy alternative, or coffee creamer",NA,NA,"Juicy","Somewhat strong","Light","Full caffeine",7,1,3,5,4,2,3,1,1,4,3,2,4,"Coffee C","Coffee A","Coffee C","I do a mix of both","$60-$80","Yes","$8-$10","$10-$15","No","More than $1,000","Yes","Male","Bachelor's degree","Employed full-time","None","Democrat"
"312","25-34 years old","1","At the office, On the go, At home",NA,"Mocha",NA,"Other","Coco",NA,"Bright","Medium","Medium","Full caffeine",6,2,2,3,4,3,5,1,3,1,3,3,5,"Coffee B","Coffee D","Coffee B","I primarily work in person","$40-$60","No","$8-$10","$8-$10","No","$300-$500","Yes","Male","Some college or associate's degree","Employed full-time","None","Democrat"
"313","25-34 years old","3","At home",NA,"Pourover",NA,"No - just black",NA,NA,"Nutty","Somewhat strong","Medium","Full caffeine",5,2,1,4,4,2,5,3,3,3,3,5,1,"Coffee B","Coffee A","Coffee B","I primarily work from home","$20-$40","No","$10-$15","$10-$15","Yes","More than $1,000","Yes","Male","Some college or associate's degree","Employed full-time","None","Democrat"
"314","35-44 years old","3","At the office, At home, At a cafe",NA,"Cortado",NA,"Milk, dairy alternative, or coffee creamer",NA,NA,"Fruity","Medium","Medium","Full caffeine",3,2,5,4,2,2,5,4,4,2,2,3,5,"Coffee B","Coffee D","Coffee B","I do a mix of both","$40-$60","Yes","$6-$8","$6-$8","Yes","$20-$50","Yes","Male","Bachelor's degree","Employed full-time","2","Democrat"
"315","55-64 years old","3","At home",NA,"Pourover",NA,"No - just black",NA,NA,"Floral","Medium","Light","Full caffeine",6,2,5,5,2,3,3,3,3,2,2,4,4,"Coffee A","Coffee A","Coffee A","I primarily work from home","$20-$40","Yes","$8-$10","$8-$10","Yes","$100-$300","Yes","Male","Master's degree","Employed part-time","More than 3","Republican"
"316","55-64 years old","2","At home",NA,"Other","Black coffee","No - just black",NA,NA,"Sweet","Medium","Light","Full caffeine",4,4,3,4,3,3,1,3,3,2,3,2,3,"Coffee B","Coffee A","Coffee B",NA,NA,"Yes","$6-$8","$6-$8","No","$300-$500","Yes","Male","High school graduate","Retired","2","Independent"
"317","55-64 years old","2","At home",NA,"Cappuccino",NA,"Milk, dairy alternative, or coffee creamer",NA,NA,"Full Bodied","Very strong","Dark","Full caffeine",5,1,4,1,3,2,5,4,1,4,2,3,3,"Coffee B","Coffee D","Coffee B","I primarily work in person","$80-$100","No","$10-$15","More than $20","No","$500-$1000","No","Male","Doctorate or professional degree","Employed full-time","2","Democrat"
"318","25-34 years old","2","At home, At the office",NA,"Pourover",NA,"No - just black",NA,NA,"Floral","Medium","Light","Full caffeine",5,2,3,4,4,2,1,3,1,3,1,4,2,"Coffee A","Coffee A","Coffee A","I do a mix of both","$40-$60","Yes","$15-$20","$6-$8","No","$50-$100","Yes","Male","Doctorate or professional degree","Employed full-time","None","No affiliation"
"319","25-34 years old","1","At home, At the office",NA,"Mocha",NA,"Milk, dairy alternative, or coffee creamer",NA,NA,"Sweet","Medium","Light","Full caffeine",1,2,4,3,2,2,5,3,2,3,4,5,1,"Coffee B","Coffee A","Coffee B","I primarily work in person","$20-$40","Yes","$8-$10","$8-$10","Yes","$50-$100","Yes","Female","Bachelor's degree","Employed full-time","None","Democrat"
"320","45-54 years old","2","At home",NA,"Cappuccino",NA,"No - just black",NA,NA,"Nutty","Somewhat strong","Medium","Full caffeine",7,3,4,1,1,1,1,3,3,NA,2,3,4,"Coffee C","Coffee D","Coffee D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"321","35-44 years old","2","At home, On the go, At the office",NA,"Pourover",NA,"No - just black",NA,NA,"Fruity","Medium","Light","Full caffeine",8,1,4,4,5,1,1,3,4,3,2,5,4,"Coffee A","Coffee D","Coffee D","I do a mix of both","$40-$60","Yes","$6-$8","$6-$8",NA,"$300-$500","Yes","Male","Master's degree","Employed full-time","None","Democrat"
"322","25-34 years old","1","At the office, At home",NA,"Americano",NA,"No - just black, Sugar or sweetener, Milk, dairy alternative, or coffee creamer",NA,"Raw Sugar (Turbinado)","Caramalized","Somewhat strong","Dark","Half caff",7,3,3,5,2,2,3,4,2,4,2,5,5,"Coffee A","Coffee D","Coffee D","I do a mix of both","$20-$40","Yes","$2-$4","$6-$8","No","$300-$500","Yes","Male","Bachelor's degree","Employed full-time","1","Democrat"
"323","45-54 years old","3","At home",NA,"Cortado",NA,"Milk, dairy alternative, or coffee creamer",NA,NA,"Fruity","Very strong","Light","Full caffeine",6,2,4,4,3,1,2,4,3,3,2,5,5,"Coffee A","Coffee D","Coffee D","I primarily work from home",NA,"Yes","$10-$15","More than $20","Yes","More than $1,000","Yes","Male","Master's degree","Employed full-time","None","Democrat"
"324","35-44 years old","Less than 1","On the go",NA,"Mocha",NA,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener, Flavor syrup",NA,"Agave Nectar, Granulated Sugar","Chocolatey","Weak","Light","Half caff",1,2,3,4,3,3,2,3,4,3,5,2,1,"Coffee A","Coffee A","Coffee A","I primarily work in person","<$20","Yes","$4-$6","$4-$6","Yes","$50-$100","Yes","Female","Master's degree","Employed full-time","2","No affiliation"
"325","25-34 years old","1","At home, At the office",NA,"Regular drip coffee",NA,"Milk, dairy alternative, or coffee creamer",NA,NA,"Nutty","Medium","Medium","Full caffeine",6,3,3,1,4,4,4,3,3,5,3,2,3,"Coffee C","Coffee D","Coffee C","I primarily work in person","$80-$100","Yes","More than $20","More than $20","Yes","$500-$1000","Yes","Male","Doctorate or professional degree","Employed full-time","None","Democrat"
"326","45-54 years old","2","At home",NA,"Latte",NA,"No - just black, Milk, dairy alternative, or coffee creamer",NA,NA,"Nutty","Medium","Medium","Full caffeine",4,2,4,4,3,2,4,2,2,5,3,4,3,"Coffee C","Coffee A","Coffee C","I primarily work from home","$20-$40","Yes","$6-$8","$6-$8","No","More than $1,000","Yes","Male","Bachelor's degree","Unemployed","2",NA
"327","45-54 years old","3","At home, At a cafe",NA,"Pourover",NA,"Milk, dairy alternative, or coffee creamer",NA,NA,"Chocolatey","Medium","Medium","Full caffeine",5,2,2,5,4,3,1,3,2,4,5,5,1,"Coffee A","Coffee A","Coffee A","I do a mix of both","$40-$60","Yes","$8-$10","$8-$10","Yes","$500-$1000","Yes","Female","Some college or associate's degree","Employed full-time","2","No affiliation"
"328","25-34 years old","1","At home, At a cafe",NA,"Cortado",NA,"No - just black, Milk, dairy alternative, or coffee creamer",NA,NA,"Sweet","Somewhat strong","Light","Full caffeine",7,1,4,4,3,2,3,3,2,2,2,4,5,"Coffee A","Coffee D","Coffee D","I do a mix of both","$40-$60","Yes","$4-$6","$6-$8","Yes","$100-$300","Yes","Male","Bachelor's degree","Employed full-time","None","Democrat"
"329","25-34 years old","2","At the office",NA,"Pourover",NA,"No - just black",NA,NA,"Juicy","Medium","Medium","Full caffeine",5,2,4,5,3,3,3,2,3,2,3,4,4,"Coffee A","Coffee A","Coffee A","I do a mix of both","$20-$40","Yes","$6-$8","$10-$15","No","$100-$300","Yes","Male","Bachelor's degree","Employed full-time","None","Independent"
"330","18-24 years old","1","At home",NA,"Pourover",NA,"No - just black, Milk, dairy alternative, or coffee creamer",NA,NA,"Sweet","Medium","Medium","Full caffeine",3,1,4,5,5,1,2,4,2,4,1,5,2,"Coffee A","Coffee A","Coffee A","I primarily work from home","$20-$40","Yes","$2-$4","$6-$8","No","More than $1,000","Yes","Male","High school graduate","Employed full-time","None","Democrat"
"331","25-34 years old","2","At home, At a cafe, On the go, At the office",NA,"Americano",NA,"No - just black",NA,NA,"Fruity","Somewhat strong","Light","Full caffeine",6,2,4,2,2,2,4,3,3,3,2,5,3,"Coffee B","Coffee D","Coffee B","I primarily work from home","$40-$60","Yes","$4-$6","$6-$8","No","$100-$300","Yes","Male","Master's degree","Employed full-time","None","Republican"
"332","18-24 years old","1","At home",NA,"Cappuccino",NA,"Milk, dairy alternative, or coffee creamer, Flavor syrup, No - just black",NA,NA,"Nutty","Medium","Medium","Full caffeine",7,2,4,4,3,2,5,4,2,3,3,5,2,"Coffee B","Coffee A","Coffee D","I do a mix of both","$20-$40","No","$6-$8","$6-$8","No","$500-$1000","Yes","Male","Doctorate or professional degree","Student","None","Republican"
"333",">65 years old","2","At home",NA,"Regular drip coffee",NA,"Milk, dairy alternative, or coffee creamer",NA,NA,"Bold","Somewhat strong","Dark","Full caffeine",4,1,2,2,1,1,3,1,1,4,4,2,1,"Coffee C","Coffee A","Coffee C","I primarily work from home",NA,"Yes","$4-$6","$4-$6","Yes","$300-$500","Yes","Prefer not to say","Master's degree",NA,NA,NA
"334","35-44 years old","3","At home",NA,"Pourover",NA,"No - just black",NA,NA,"Fruity","Somewhat strong","Medium","Full caffeine",8,2,3,4,2,3,2,2,2,5,3,4,2,"Coffee C","Coffee A","Coffee C","I primarily work from home","<$20","Yes","$4-$6","$6-$8","Yes","$100-$300","Yes","Male","Bachelor's degree","Employed full-time","None","Democrat"
"335","18-24 years old","Less than 1","At home, On the go",NA,"Iced coffee",NA,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",NA,"Artificial Sweeteners (e.g., Splenda)","Sweet","Medium","Light","Full caffeine",6,3,4,4,4,2,3,3,2,3,2,5,3,"Coffee A","Coffee A","Coffee A","I primarily work from home","$20-$40","No","$6-$8","$6-$8","No","$100-$300","Yes","Male","Bachelor's degree","Employed full-time","None","Democrat"
"336","25-34 years old","1","At a cafe, At home",NA,"Latte",NA,"Milk, dairy alternative, or coffee creamer",NA,NA,"Chocolatey","Somewhat strong","Medium","Full caffeine",3,4,4,1,3,3,2,2,4,5,1,5,4,"Coffee C","Coffee D","Coffee C","I primarily work from home","<$20","Yes","$10-$15","$10-$15","Yes","$500-$1000","Yes","Male","Bachelor's degree","Employed full-time","None","Independent"
"337","35-44 years old","2","At home, At the office",NA,"Cappuccino",NA,"No - just black",NA,NA,"Fruity","Somewhat strong","Light","Full caffeine",7,3,4,3,3,2,4,2,2,4,1,5,5,"Coffee B","Coffee D","Coffee D","I primarily work in person","$60-$80","Yes","$10-$15","$15-$20","No","More than $1,000","Yes","Male","Doctorate or professional degree","Employed full-time","2","Democrat"
"338","18-24 years old","2","At home, At the office",NA,"Espresso",NA,"No - just black",NA,NA,"Chocolatey","Somewhat strong","Medium","Full caffeine",5,3,4,3,3,2,2,3,2,3,2,4,5,"Coffee A","Coffee D","Coffee D","I do a mix of both","$40-$60","No","$4-$6","$4-$6","Yes","$500-$1000","Yes","Male","Bachelor's degree","Employed full-time","None","No affiliation"
"339","25-34 years old","2","At home, At a cafe",NA,"Cappuccino",NA,"No - just black",NA,NA,"Fruity","Medium","Light","Full caffeine",7,1,5,4,3,2,3,3,2,3,1,4,5,"Coffee A","Coffee D","Coffee D","I primarily work from home","$20-$40","Yes","$6-$8","$8-$10","Yes","$100-$300","Yes","Female","Bachelor's degree","Employed full-time","None","Independent"
"340","35-44 years old","2","At home, At a cafe",NA,"Latte",NA,"No - just black",NA,NA,"Nutty","Medium","Light","Full caffeine",5,1,4,5,2,1,3,5,3,4,3,5,2,"Coffee A","Coffee A","Coffee A","I primarily work in person","$40-$60","Yes","$8-$10","More than $20","Yes","$50-$100","Yes","Female","Doctorate or professional degree","Employed full-time","None","Democrat"
"341","35-44 years old","2","At home",NA,"Pourover",NA,"No - just black",NA,NA,"Juicy","Somewhat strong","Light","Full caffeine",6,1,4,4,3,2,3,2,4,5,1,5,2,"Coffee C","Coffee A","Coffee C","I primarily work in person","$20-$40","Yes","$6-$8","$8-$10","No","$500-$1000","Yes","Male","High school graduate","Employed full-time","3","Republican"
"342","25-34 years old","1","At home, At a cafe",NA,"Espresso",NA,"No - just black",NA,NA,"Bright","Somewhat strong","Light","Full caffeine",8,1,3,3,3,2,2,4,1,1,2,4,4,"Coffee A","Coffee D","Coffee D","I primarily work from home","$40-$60","Yes","$10-$15","More than $20","No","$50-$100","Yes","Male","Master's degree","Employed full-time","None","No affiliation"
"343","35-44 years old","2","At a cafe",NA,"Americano",NA,"Sugar or sweetener",NA,"Granulated Sugar","Chocolatey","Medium","Light","Full caffeine",7,1,4,3,2,3,4,3,2,3,1,5,1,"Coffee B","Coffee A","Coffee B","I primarily work from home","$60-$80","Yes","$6-$8","$4-$6","Yes","$500-$1000","Yes","Male",NA,NA,NA,NA
"344","25-34 years old","Less than 1","At home",NA,"Latte",NA,"No - just black, Milk, dairy alternative, or coffee creamer",NA,NA,"Full Bodied","Somewhat strong","Medium","Half caff",6,2,4,2,4,2,3,1,3,5,3,5,4,"Coffee C","Coffee D","Coffee C","I primarily work in person","<$20","Yes","$6-$8","$6-$8","No","$50-$100","Yes","Female","Bachelor's degree","Employed full-time","None","No affiliation"
"345","35-44 years old","1","At home, At the office",NA,"Americano",NA,"No - just black",NA,NA,"Bold","Somewhat strong","Medium","Full caffeine",7,2,4,2,4,4,3,4,1,5,4,2,4,"Coffee C","Coffee D","Coffee C","I primarily work from home","$40-$60","No","$6-$8","$8-$10","Yes","$300-$500","Yes","Male","Bachelor's degree","Employed full-time","None","Democrat"
"346","55-64 years old","2","At the office",NA,"Cold brew",NA,"No - just black",NA,NA,"Bold","Very strong","Medium","Full caffeine",5,4,4,1,3,4,2,3,3,3,1,3,4,"Coffee C","Coffee D","Coffee D","I primarily work in person",">$100","Yes","$15-$20","More than $20","Yes","$300-$500","Yes","Male","Some college or associate's degree","Employed full-time","2","Republican"
"347","18-24 years old","2","At home",NA,"Espresso",NA,"No - just black",NA,NA,"Floral","Medium","Light","Full caffeine",8,2,4,4,3,3,3,2,2,4,1,5,5,"Coffee A","Coffee D","Coffee D","I primarily work from home","$40-$60","Yes","$6-$8","More than $20","Yes","More than $1,000","Yes","Male","Some college or associate's degree","Student","None","Democrat"
"348","35-44 years old","2","At a cafe, At home, At the office",NA,"Latte",NA,"Milk, dairy alternative, or coffee creamer",NA,NA,"Juicy","Somewhat strong","Light","Full caffeine",6,2,4,4,2,1,2,3,2,3,1,4,5,"Coffee A","Coffee D","Coffee D","I do a mix of both","$20-$40","Yes","$8-$10","$15-$20","Yes","$300-$500","Yes","Female","Bachelor's degree","Employed full-time","None","Democrat"
"349","25-34 years old","1","At home",NA,"Regular drip coffee",NA,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",NA,"Artificial Sweeteners (e.g., Splenda)","Sweet","Medium","Medium","Full caffeine",6,4,2,1,1,1,4,3,2,4,2,4,3,"Coffee B","Coffee D","Coffee B","I primarily work from home","$20-$40","No","$4-$6","$6-$8","No","$100-$300","Yes","Female","Bachelor's degree","Employed full-time","None","Independent"
"350","18-24 years old","More than 4","At home",NA,"Regular drip coffee",NA,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",NA,"Granulated Sugar","Chocolatey","Medium","Medium","Full caffeine",7,1,4,2,1,3,4,3,2,4,5,5,1,"Coffee C","Coffee A","Coffee C","I primarily work in person","$20-$40","No","$4-$6","$8-$10","Yes","$100-$300","Yes","Male","Some college or associate's degree","Employed part-time","None",NA
"351","25-34 years old","2","At home",NA,"Pourover",NA,"No - just black",NA,NA,"Full Bodied","Medium","Medium","Full caffeine",7,3,4,2,3,4,3,4,3,4,2,5,1,"Coffee C","Coffee A","Coffee C","I primarily work from home","$40-$60","Yes","$6-$8","$15-$20","No","$300-$500","Yes","Male","Master's degree","Employed part-time","None","No affiliation"
"352","<18 years old","2","At home, At a cafe",NA,"Latte",NA,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",NA,"Granulated Sugar","Chocolatey","Medium","Medium","Full caffeine",7,1,4,2,1,2,4,3,2,5,5,5,1,"Coffee C","Coffee A","Coffee C","I do a mix of both","$40-$60","No","$4-$6","$8-$10","Yes","$100-$300","Yes","Female","High school graduate","Student","None","No affiliation"
"353","25-34 years old","1","At home, On the go",NA,"Latte",NA,"Milk, dairy alternative, or coffee creamer",NA,NA,"Chocolatey","Somewhat strong","Medium","Full caffeine",4,2,3,4,3,2,3,2,2,5,3,4,2,"Coffee C","Coffee A","Coffee A","I do a mix of both","$20-$40","Yes","$8-$10","$10-$15","No","$300-$500","Yes","Female","Bachelor's degree","Employed part-time","None","Independent"
"354","25-34 years old","1","At home",NA,"Latte",NA,"Milk, dairy alternative, or coffee creamer",NA,NA,"Bold","Medium","Light","Full caffeine",2,3,4,3,1,1,4,4,3,1,2,4,3,"Coffee B","Coffee D","Coffee B","I primarily work from home","$20-$40","Yes","$4-$6","$6-$8","No","Less than $20","Yes","Female","Bachelor's degree","Homemaker","2","No affiliation"
"355","25-34 years old","1","At the office, At home",NA,"Cappuccino",NA,"No - just black",NA,NA,"Bold","Somewhat strong","Medium","Full caffeine",4,2,4,3,3,3,1,4,2,5,5,1,4,"Coffee C","Coffee D","Coffee C","I do a mix of both","$20-$40","Yes","$10-$15","$15-$20","No","$100-$300","Yes","Female","Bachelor's degree","Employed full-time","None","Republican"
"356","25-34 years old","3","At home, At the office",NA,"Iced coffee",NA,"No - just black",NA,NA,"Chocolatey","Somewhat strong","Medium","Full caffeine",6,1,4,3,3,2,3,3,3,5,1,5,3,"Coffee C","Coffee D","Coffee A","I do a mix of both","$40-$60","Yes","$4-$6","$4-$6","No","$100-$300","Yes","Male","Doctorate or professional degree","Employed full-time","1","Democrat"
"357","35-44 years old","3","At home",NA,"Latte",NA,NA,NA,NA,"Fruity","Somewhat strong","Light","Full caffeine",5,3,3,NA,5,2,1,NA,3,3,1,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"358","25-34 years old","1","At home, At the office",NA,"Regular drip coffee",NA,"No - just black",NA,NA,"Bright","Somewhat strong","Medium","Full caffeine",6,3,4,3,4,2,3,3,2,1,3,3,4,"Coffee B","Coffee D","Coffee D","I primarily work from home","$40-$60","Yes","$6-$8","$8-$10","Yes","$100-$300","Yes","Male","High school graduate","Employed full-time","1","No affiliation"
"359","25-34 years old","3","At home, At the office, At a cafe",NA,"Pourover",NA,"No - just black",NA,NA,"Fruity","Somewhat strong","Light","Full caffeine",9,2,4,4,3,3,3,5,1,1,1,4,5,"Coffee A","Coffee D","Coffee C","I do a mix of both","$40-$60","Yes","$8-$10","$8-$10","No","$100-$300","No","Male","Bachelor's degree","Employed full-time","None","Democrat"
"360","25-34 years old","1","At the office, At home, On the go, At a cafe",NA,"Espresso",NA,"No - just black",NA,NA,"Fruity","Medium","Light","Full caffeine",5,2,5,4,4,2,2,3,3,2,2,4,3,"Coffee A","Coffee A","Coffee B","I do a mix of both","$40-$60","Yes","More than $20","More than $20","No","Less than $20","Yes","Female","Master's degree","Employed full-time","None","No affiliation"
"361","18-24 years old","1","At home",NA,"Latte",NA,"Milk, dairy alternative, or coffee creamer",NA,NA,"Juicy","Medium","Light","Full caffeine",6,1,4,4,3,2,2,4,1,2,1,3,5,"Coffee A","Coffee D","Coffee D","I do a mix of both","$20-$40","Yes","$8-$10","$15-$20","No","$300-$500","Yes","Female","Bachelor's degree","Employed part-time","None","No affiliation"
"362","18-24 years old","2","At home",NA,"Espresso",NA,"Sugar or sweetener",NA,"Raw Sugar (Turbinado)","Bold","Very strong","Dark","Full caffeine",4,4,4,2,4,2,1,2,2,3,2,4,1,"Coffee C","Coffee A","Coffee D","I primarily work in person","<$20","Yes","$6-$8","$4-$6","No","$20-$50","Yes","Non-binary","Bachelor's degree","Student","None",NA
"363","25-34 years old","2","At home, At the office",NA,"Cold brew",NA,"No - just black",NA,NA,"Bright","Somewhat strong","Medium","Full caffeine",2,3,3,3,3,3,4,3,2,4,3,2,4,"Coffee B","Coffee D","Coffee B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"364","25-34 years old","2","At home, At the office",NA,"Latte",NA,"No - just black",NA,NA,"Fruity","Medium","Light","Full caffeine",8,1,4,5,4,2,3,1,2,2,4,4,4,"Coffee A","Coffee A","Coffee A","I primarily work from home","$40-$60","Yes","$8-$10","$10-$15","Yes","$300-$500","Yes","Male","Doctorate or professional degree","Unemployed","None","Democrat"
